item-name	item-description	listing-id	seller-sku	price	quantity	open-date	image-url	item-is-marketplace	product-id-type	zshop-shipping-fee	item-note	item-condition	zshop-category1	zshop-browse-path	zshop-storefront-feature	asin1	asin2	asin3	will-ship-internationally	expedited-shipping	zshop-boldface	product-id	bid-for-featured-placement	add-delete	pending-quantity	fulfillment-channel	merchant-shipping-group	status
NewEleven 60th Birthday Gifts for Men Women - 1965 60th Birthday Decorations for Him Her - Turning 60 Year Old Gifts for Man, Woman, Mom, Dad, Wife, Husband - 20 Oz Tumbler	Tumbler	0917B5THL5I	06-AGXV-L5EK	27.98		2024-09-17 07:57:45 PDT		y	3			11				B0DHCFTYVW						850062760660				AMAZON_NA	Migrated Template	Active
NewEleven Fathers Day Gift for Dad - Birthday Gifts for Dad from Kids - Husband Gift - Birthday Present Ideas for Father, Husband, New Papa, Bonus Father from Daughter, Son - 20 Oz Tumbler	Tumbler	1020AQ5R0W6	1J-71GS-RJFC	27.98		2023-10-20 05:59:58 PDT		y	3			11				B0CM5RJ8VD						850057187212				AMAZON_NA	Migrated Template	Active
NewEleven 1985 40th Birthday Gifts for Women - 40 Year Old Birthday Gifts Idea for Women, Her, Mom, Wife - Turning 40 Gift for Woman - 20 Oz Tumbler	Tumbler	1129BNNIA2Y	1Y-PY2P-6Q4W	29.98		2024-11-28 18:11:02 PST		y	3			11				B0DM61B4F2						810181270310				AMAZON_NA	Migrated Template	Active
NewEleven Mothers Day Gifts for Mom, Wife - Gifts for Mom from Daughter, Son, Kids - Unique Birthday Present Ideas for Mother, Wife, New Mama from Daughter, Son, Husband - 20 Oz Tumbler	Tumbler	1108AD8C77T	2F-5232-03M8	22.99		2023-11-08 14:08:01 PST		y	3			11				B0CG8NHNWF						850050994848				AMAZON_NA	Migrated Template	Active
NEWELEVEN 50th Birthday Gifts for Men Women - 1974 1975 Birthday Decorations for Men Women - Gifts for Men Women Turning 50, 1974 White Hat, One Size		1214AVUPIP8	4Q-CVN5-SRBD	9.98		2023-12-13 22:55:31 PST		y	1			11				B0CM5T2F1V						B0CM5T2F1V				AMAZON_NA	Migrated Template	Active
Gifts for Dad from Daughter, Son, Kids - Birthday Gifts for Dad, New Dad - Fathers Day Gift for Dad, Husband, Men - Best Dad Bday Present Idea for a Father, Men, Him - Dad Mug, 20 Oz Tumbler		0410Y2CZT73	5O-AIII-N41X	23.98		2021-04-10 12:42:05 PDT		y	3			11				B08ZKZ1FJK						707785057686				AMAZON_NA	Migrated Template	Active
NewEleven 40th Birthday Gifts for Men Women - 1985 40th Birthday Decorations for Men Women - Turning 40-40 Year Old Gifts for Man, Woman, Mom, Dad, Wife, Husband - 20 Oz Tumbler	Tumbler	0919B8USUUN	7N-6OBC-K7DN	26.98		2024-09-18 22:48:05 PDT		y	3			11				B0DH7PQ1RX						850062760547				AMAZON_NA	Migrated Template	Active
NewEleven Gifts for Friends, Bestie – Work Bestie Presents for Women Friends - Appreciation Gifts for Coworkers, Unique Present Ideas for Coworker Leaving, Farewell Party – 16 Oz Coffee Glass		1111BA81PZE	7X-5K3W-K6CS	23.98		2024-11-11 12:49:15 PST		y	1			11				B0CXXJ751C						B0CXXJ751C				AMAZON_NA	Migrated Template	Active
NewEleven Fathers Day Gift For Grandpa - Meaningful Grandpa Gifts From Granddaughter, Grandson - Grandpa Birthday Gifts For Grandfather, New Granddad, PaPa - Bible Jar		0514FPBY6H8	8O-S5PG-85KF	23.1		2025-05-14 15:49:51 PDT		y	1			11				B0F7WVKZ6F						B0F7WVKZ6F				AMAZON_NA	Migrated Template	Active
NewEleven Retirement Gift for Women 2024 - Happy Retirement, Coworker Leaving, Farewell, Goodbye for Coworkers, Friends - 12 Oz Tumbler		1228Z9QOHZV	A6-H1II-ZKFG	25.98		2022-12-27 18:58:35 PST		y	3			11				B08ZRWW1W4						707785064288				AMAZON_NA	Migrated Template	Active
NEWELEVEN Gifts for Book Lovers - Book Lovers Gifts for Women - Bookish Gifts for Readers, Librarians, Bookaholics, Bookworm - Birthday Gifts for Women, Her, Best Friend – 16 Oz Coffee Glass		0401A69SA5F	BC-HKBD-KBAM	23.98		2023-03-31 22:05:13 PDT		y	1			11				B0BYDDFNBD						B0BYDDFNBD				AMAZON_NA	Migrated Template	Active
NewEleven Gifts For Him, Men - Gift For Men, Women, Dad, Husband, Friend - Thank You Gifts, Appreciation Gift, Graduation Presents For Men, Nurse, Teacher, Boss, Coworker - 20 Oz Tumbler		0728Y2YTKK6	BJ-VG4K-QQW3	19.98		2021-07-27 21:28:25 PDT		y	3			11				B0978WGWY4						707785024688				AMAZON_NA	Migrated Template	Active
NewEleven 60th Birthday Gifts for Women - 1965 60th Birthday Decorations for Woman - Turning 60-60 Year Old Gifts for Women, Mom, Wife - 20 Oz Tumbler	Tumbler	1129BNK9X9X	CB-D2S7-7LAE	29.98		2024-11-28 18:11:02 PST		y	3			11				B0DM63J16N						810181270303				AMAZON_NA	Migrated Template	Active
NewEleven Gifts for Brother - Brother Gifts from Sister, Brother - Big Brother Gifts, Little Brother Gifts - Birthday Gifts for Brothers from Sisters, Brother, Siblings - 20 Oz Tumbler		0728Y2QSXXA	CC-VIYV-1LFP	22.98		2021-07-27 19:47:02 PDT		y	3			11				B09792XF8F						707785027368				AMAZON_NA	Migrated Template	Active
NewEleven Mother Day Gift for Mom - Gifts for Mom from Daughter, Son, Kids - Unique Birthday Gifts for Mom, New Mom, Bonus Mom, Pregnant Mom - Funny Gifts Ideas for Mom - 16 Oz Coffee Glass	Coffee cup	0919AMK1QSM	CW-5CAB-L7CZ	18.98		2023-09-19 00:28:11 PDT		y	3			11				B0BHWDNYVL						850041250731				AMAZON_NA	Migrated Template	Active
NewEleven Fathers Day Gift for Dad - Birthday Gifts for Dad from Daughter, Son, Kids - Husband Gift - Birthday Present Ideas for Father, New Papa, Bonus Father from Daughter, Son - 20 Oz Tumbler	Tumbler	0927A7UGZCG	FQ-Q5JW-E8TK	27.98		2023-09-26 19:37:51 PDT		y	3			11				B0CG8N67SJ						850050994831				AMAZON_NA	Migrated Template	Active
NewEleven Father Day Gifts For Dad, Dad Birthday Gifts From Daughter, Son - New Father Gift, Bible Jar For Father - Decorative Glass Inspirational Scripture Jar with 92 Bible Verse		0213F8S9NCQ	GE-UCH3-MNIE	23.99		2025-02-12 21:02:42 PST		y	3			11				B0DVSKBSWN						810181270471				AMAZON_NA	Migrated Template	Active
NewEleven Gifts for Aunt - Cool Presents for New Auntie, Sister - Birthday, Announcement, Promoted to Aunt - 20 Oz Tumbler		0629AF9BG0Q	GX-USB4-E6T8	21.98		2023-06-29 02:51:51 PDT		y	1			11				B0C9D2PHMH						B0C9D2PHMH				AMAZON_NA	Migrated Template	Active
