item-name	item-description	listing-id	seller-sku	price	quantity	open-date	image-url	item-is-marketplace	product-id-type	zshop-shipping-fee	item-note	item-condition	zshop-category1	zshop-browse-path	zshop-storefront-feature	asin1	asin2	asin3	will-ship-internationally	expedited-shipping	zshop-boldface	product-id	bid-for-featured-placement	add-delete	pending-quantity	fulfillment-channel	merchant-shipping-group	status	Minimum order quantity	Sell remainder
NewEleven 50th Birthday Gifts For Women - 1975 50th Birthday Decorations For Women - Gifts For Her Turning 50 Year Old - 20 Oz Tumbler		1030BTROSZG	0Y-8781-RAI5	14.98		30/10/2024 14:14:57 GMT		y	1			11				B0DH7X6R1J						B0DH7X6R1J				AMAZON_EU	Migrated Template	Active		
NEWELEVEN Dad Birthday Gift from Daughter, Son, Kids, Wife - Birthday Gifts for New Daddy, Husband, Men - Best Present Idea for Father, Husband, Bonus Dad from Daughter, Son, Wife - 20 Oz Tumbler		0510YPE5NHT	2S-NW9J-SOFG	9.99		10/05/2021 05:41:11 BST		y	1			11				B08ZKZ1FJK						B08ZKZ1FJK				AMAZON_EU	Migrated Template	Active		false
NewEleven Leaving Gifts for Colleagues Women Men - Good Luck, New Job Gift, Good Luck, New Job Keepsake - Funny Sorry You’re Off Present for Colleague, Boss, Friends - 20 Oz Tumbler		0608ZMCYF2J	57-A3W5-BOLZ	16.98		08/06/2022 09:10:24 BST		y	1			11				B09XDFF8FF						B09XDFF8FF				AMAZON_EU	Migrated Template	Active		false
NEWELEVEN Thank You Teacher Cards - Appreciation Present, Teacher Gifts For Women, Men - Meaningful Gift, Cute Teachers Gifts From Student - Greeting Card		0602F7QN111	6A-K2Q3-WB1H	3.49		02/06/2025 05:17:43 BST		y	3			11				B0FBLVP2DM						810181271140				AMAZON_EU	Migrated Template	Active		
Neweleven Gifts for Mum - Mum Birthday Present from Daughter, Son, Kids, Husband - Best Birthday Presents for Wife, Mother, New Mummy, Wife - 12 Oz Tumbler		0531YY1XTKX	89-7PLW-EG6P	8.99		31/05/2021 05:51:06 BST		y	1			11				B07Y7ZQ265						B07Y7ZQ265				AMAZON_EU	Migrated Template	Active		false
NEWELEVEN Leaving Gifts for Colleagues Women Men - Good Luck, New Job Gifts Leaving Presents for Colleagues - Funny Present for Coworkers, Colleague, Boss - 20 Oz Tumbler		0608ZMERVFC	8R-6QOC-V1O4	18.98		08/06/2022 10:35:54 BST		y	3			11				B0B3J9CRB6						850041250250				AMAZON_EU	Migrated Template	Active		false
NewEleven Glass Ornament - Thank You Gift for Coworker - Leaving Gift for Colleague, Secret Santa Christmas Decoration, Friendship Appreciation Gift for Women Men		1210BHHUXRT	CM-0WJG-U1JA	3.19		10/12/2024 07:40:08 GMT		y	1			11				B0DG8Y15PG						B0DG8Y15PG				AMAZON_EU	Migrated Template	Active		
40th Birthday Gifts for Men, Women - 1985 40th Birthday Decorations for Men, Women - Gift for Woman Turning 40-40 Year Old Gifts for Him, Her, Husband, Wife - 20 Oz Tumbler		0513YWF6KKK	IJ-DHVD-TYIT	17.98		13/05/2021 03:59:33 BST		y	1			11				B08R8R2LQF						B08R8R2LQF				AMAZON_EU	Migrated Template	Active		false
NEWELEVEN Gifts for Auntie - Auntie Birthday Present - Aunt Gift for Auntie from Niece, Nephew - Best Presents for Special Aunt, Auntie Mug, Aunty Gift - 16 Oz Coffee Glass		1218A75SOHN	IS-0T6V-VNCQ	15.98		18/12/2023 09:12:17 GMT		y	3			11				B0CQK1NB66						850057187380				AMAZON_EU	Migrated Template	Active		false
NewEleven Birthday Gift from Daughter, Son, Kids, Wife - Birthday Gifts for New Dad, Husband, Men - Best Present Idea for Father, Husband, Bonus Dad from Daughter, Son, Wife - 20 Oz Tumbler		1213AT7M3R7	IY-YONT-O0OR	9.99		13/12/2023 08:27:37 GMT		y	1			11				B0CDLQGPKC						B0CDLQGPKC				AMAZON_EU	Migrated Template	Active		
NEWELEVEN Gifts For Teachers - Thank You Teacher Cards, Appreciation Gift For Teacher Women, Men - Thank You Teacher Gifts From Student - Greeting Card		0602F7ROMZ4	JA-R6JP-L91H	3.49		02/06/2025 05:16:18 BST		y	3			11				B0FBLVQWWK						810181271157				AMAZON_EU	Migrated Template	Active		
NEWELEVEN Bridal Shower Gifts - Wedding Presen for Her - Bride to Be, Bachelorette Gift, Engagement Gift for Women - Keepsake for Bride to Be, Fiancee, Wifey, Her - 12 Oz Tumbler	Tumbler	0531YXXPHNS	JR-WJ96-HH29	16.98		31/05/2021 05:14:42 BST		y	3			11				B08R8R7T36						707785054111				AMAZON_EU	Migrated Template	Active		false
NewEleven Birthday Gifts for Best Uncle - Funny Present from Niece, Nephew - Unique Keepsake for New Funcle or Uncle Announcement - 20 Oz Tumbler		0913YR6M5WI	LP-J1B1-3G49	9.99		13/09/2021 09:42:28 BST		y	1			11				B097H6PJCN						B097H6PJCN				AMAZON_EU	Migrated Template	Active		false
NEWELEVEN Teacher Gifts For Women - Thank You Teacher Cards, Birthday Gift, Appreciation Prersent For Teacher - Cute Gifts For Teachers From Student - Greeting Card		0602F7QTM4M	LY-LFYW-FJ09	3.99		02/06/2025 05:08:29 BST		y	3			11				B0FBLTYSS4						810181271171				AMAZON_EU	Migrated Template	Active		
NEWELEVEN Bride to Be Gifts for Her - Wedding Present for Bride - Bridal Shower Gift, Bachelorette Surprise for Fiancee - Engagement Gift for Women - Bridal Gifts for Brides to Be - 20 Oz Tumbler	Tumbler	1213AT9P1X6	ML-17T6-6OZT	16.98		13/12/2023 08:22:41 GMT		y	3			11				B09B9PKM9M						752798672166				AMAZON_EU	Migrated Template	Active		
NewEleven 40th Birthday Gifts for Men Women - 1985 40th Birthday Decorations for Men Women - Turning 40-40 Year Old Gifts for Man, Woman, Mom, Dad, Wife, Husband - 20 Oz Tumbler		0918BJJBI0Z	PC-ZRAK-3O0Q	14.98		18/09/2024 12:17:54 BST		y	1			11				B0DH7PQ1RX						B0DH7PQ1RX				AMAZON_EU	Migrated Template	Active		
NewEleven Birthday Gifts for Brother - Funny Present from Sister - Unique Keepsake for Big Brother - Presents for Brothers from Sisters - 20Oz Tumbler		0221Z4JO31T	Q6-KI9N-LV8S	9.99		21/02/2022 07:49:04 GMT		y	1			11				B09792XF8F						B09792XF8F				AMAZON_EU	Migrated Template	Active		false
NEWELEVEN Thank You Teacher Cards - Thank You for Helping Me Grow from Children, Appreciation Gifts For Teachers, Teacher Gift - Greeting Card		0602F7RRXHQ	QP-D21H-1RA2	6.49		02/06/2025 05:14:35 BST		y	3			11				B0FBLWK4S9						810181271164				AMAZON_EU	Migrated Template	Active		
NEWELEVEN Retirement Gifts For Women - Retirement Card, Leaving Gifts For Colleagues Women, Men, Boss - Funny Gift For Retired Coworker From Friend, Colleague - Greeting Card		0602F7R7THR	T3-BG9X-ILJW	4.99		02/06/2025 05:20:55 BST		y	3			11				B0FBLVSKTY						810181271133				AMAZON_EU	Migrated Template	Active		
NEWELEVEN Dad Birthday Gift from Daughter, Son, Kids, Wife - Birthday Gifts for New Dad, Husband, Men - Best Present Idea for Father, Husband, Bonus Daddy from Daughter, Son, Wife - 20 Oz Tumbler		1212AQMDQ9E	TF-LM3I-IIEP	15.98		12/12/2023 09:47:35 GMT		y	3			11				B0CQ2HR9WG						850057187359				AMAZON_EU	Migrated Template	Active		
NEWELEVEN Birthday Gifts for Mum - Present for Mum, Wife from Daughter, Son, Kids, Husband - Unique Birthday Gift for Mummy, Mother, Wife, Mom - 20 Oz Tumbler		1219A95CB22	TR-54V7-WOWD	9.99		19/12/2023 05:22:42 GMT		y	3			11				B0CQLL3M3G						850057187557				AMAZON_EU	Migrated Template	Active		false
NewEleven 60th Birthday Gifts For Men Women - 1965 60th Birthday Decorations For Him Her - Turning 60 Year Old Gifts For Man, Woman, Mom, Dad, Wife, Husband - 20 Oz Tumbler		0918BJDYNXJ	V9-EYIH-BCF0	14.99		18/09/2024 12:20:09 BST		y	1			11				B0DHCFTYVW						B0DHCFTYVW				AMAZON_EU	Migrated Template	Active		
NewEleven 50th Birthday Tumbler - 20oz Stainless Steel - Navy - Reusable - Leak-proof - Break Resistant - Double Wall Insulated for Men, Women, Mom, Dad, Wife, Husband - 1975 Birthday Decorations		0923BJHYEIT	W4-SMNW-CUN7	16.98		23/09/2024 06:34:25 BST		y	1			11				B0DH7YGD9Q						B0DH7YGD9Q				AMAZON_EU	Migrated Template	Active		
NEWELEVEN Leaving Gifts for Colleagues Women Men - Good Luck, New Job Gifts Leaving Presents for Colleagues - Funny, Sorry Your Leaving Gifts for Coworkers, Colleagues, Boss - 20 Oz Tumbler (Black)		0907YF1KMYG	1Z-WLKK-1KFD	24.98		07/09/2021 06:15:42 BST		y	1			11				B092HNBJT6						B092HNBJT6				AMAZON_EU	Migrated Template	Inactive		false
NEWELEVEN Birthday Gifts for Women - Best Friend Giftss – Female Friendship Gifts, Sisters from Sister Funny Bday Presents Unique Her, BFF, Bestie, Soul 16 Oz Coffee Glass		0111A48SJUZ	3F-DFO6-YTOK	7.99		11/01/2023 04:26:07 GMT		y	1			11				B0B9SC1JMN						B0B9SC1JMN				AMAZON_EU	Migrated Template	Inactive		false
NewEleven 60th Birthday Wine Tumbler - 12 oz Pink Insulated Stainless Steel Tumbler with Lid, Straw, Straw Cleaning Brush - Perfect for Women, Mom, Wife, Sisters, Friends - 1 Count (Pack of 1)		0620Z9LRG1E	3R-E22O-QH94	9.98		20/06/2022 06:43:33 BST		y	1			11				B08R8PXYL6						B08R8PXYL6				AMAZON_EU	Migrated Template	Inactive		false
NewEleven Birthday Mum Gifts from Daughter, Son, Kids, Husband - Funny Gifts for Mum, Women, Wife - Birthday Gifts for Mum, Mother, Wife, New Mum, Bonus Mum, Mum to Be - Lavender Candle 8 Oz		0520ZN44IGQ	47-OSRC-VMCV	4.99		20/05/2022 05:26:31 BST		y	3			11				B0B1TW5QVP						850041250175				AMAZON_EU	Migrated Template	Inactive		false
Fathers Day, Birthday Gifts For Grandad - Grandpa Birthday Gifts - Best Birthday Gifts For Grandad, Grandfather, New Grandad, Promoted To Grandad From Grandchildren, Grandkids - 20 Oz Tumbler		0608ZMEO5YF	5B-8JPZ-S700	14.98		08/06/2022 10:34:03 BST		y	3			11				B0B3J8KS9H						850041250243				AMAZON_EU	Migrated Template	Inactive		false
NewEleven Birthday Gifts for Women, Friends - Birthday Gifts for Women – Female Friendship Gifts for Women - Best Presents for Mom, Her, BFF, Bestie - 20 Oz Tumbler		0331Z8M2IIC	5J-S7LA-POHK	14.98		31/03/2022 05:18:23 BST		y	1			11				B09TT1GGMM						B09TT1GGMM				AMAZON_EU	Migrated Template	Inactive		false
NewEleven 60th Birthday Gifts - 1964 Decorations - 60 Year Old Gifts For Men, Women, Mom, Dad, Wife, Husband - 20 Oz Tumbler		0604BADPH11	6B-07R3-YOXZ	13.98		04/06/2024 06:09:05 BST		y	1			11				B0CN8ZP46N						B0CN8ZP46N				AMAZON_EU	Migrated Template	Inactive		
NEWELEVEN Leaving Gifts for Colleagues Women Men - Good Luck, New Job Gifts Leaving Presents for Colleagues - Funny, Sorry Your Leaving Gifts for Coworkers, Colleagues, Boss - 20 Oz Tumbler (White)		0514YYML4Z9	6S-7L2A-FL7F	9.99		14/05/2021 07:53:55 BST		y	1			11				B08Y8RZRHG						B08Y8RZRHG				AMAZON_EU	Migrated Template	Inactive		false
