item-name	item-description	listing-id	seller-sku	price	quantity	open-date	image-url	item-is-marketplace	product-id-type	zshop-shipping-fee	item-note	item-condition	zshop-category1	zshop-browse-path	zshop-storefront-feature	asin1	asin2	asin3	will-ship-internationally	expedited-shipping	zshop-boldface	product-id	bid-for-featured-placement	add-delete	pending-quantity	fulfillment-channel	merchant-shipping-group	status
NewEleven 40th Birthday Gifts Women, 1985 Gift, 40th Birthday Decorations for Women, Friends, Daughter, Sister Mom - 40 Ornament Keepsake - Ceramic Ornament	Ornament	1014B0MDG9Y	02-HL2A-BSQP	9.99		2024-10-13 20:49:09 PDT		y	3			11				B0DK11YM64						810181270099				AMAZON_NA	Migrated Template	Active
NewEleven 60th Birthday Gifts For Men Women - 1965 60th Birthday Decorations For Him Her - Turning 60 Year Old Gifts For Man, Woman, Mom, Dad, Wife, Husband - 20 Oz Tumbler	Tumbler	0918B5P5R6H	06-AGXV-L5EK	19.98		2024-09-17 21:44:35 PDT		y	3			11				B0DHCFTYVW						850062760660				AMAZON_NA	Migrated Template	Active
NewEleven Memorial Gifts for Loss of Loved One, Condolences Bereavement Present Idea, Celebration of Life Decorations - Ceramic Christmas Ornament	Ornament	0722BXMQ586	0B-A1DR-X8J4	6.99		2024-07-21 22:00:06 PDT		y	3			11				B0D9VKTY47						850062760424				AMAZON_NA	Migrated Template	Active
NewEleven Gifts For Book Lovers - Book Lovers Gifts For Women - Book Themed Gift for Readers, Librarians, Bookaholics - Birthday Gift For Women, Her, Best Friend – 16 Oz Coffee Glass	Coffee cup	0329BXNRK52	0B-GUIB-F6GL	13.98		2024-03-29 01:41:32 PDT		y	3			11				B0CZDV6J3V						850057187939				AMAZON_NA	Migrated Template	Active
NewEleven Fathers Day Gift For Dad, Men - Funny Birthday Gifts For Dad, Men, Car Guys - Unique Present Idea For Father, Husband, Uncle, Guys From Daughter, Son, Kids, Wife - 20 Oz Tumbler	Tumbler	0907APTLFQ4	0I-V2OD-GO56	14.98		2023-09-06 21:22:03 PDT		y	3			11				B0CHJ1V1RR						850050994923				AMAZON_NA	Migrated Template	Active
NewEleven Gifts for Women Friendship - Funny Gift for Friends Female - Unique Friendship Gifts for Women, Friend, Female, Bestie, BFF, Soul Sister, Work Bestie - Candle	Introducing the NewEleven Scented Candle – a choice for those seeking elegant and thoughtful bff gifts. This scented candle is meticulously crafted to serve as a meaningful token in bestie gifts, designed as birthday gifts for your best friend woman. When it comes to best friend gifts for women, this candle stands out as a symbol of cherished memories and lasting friendship.	0717BL5RC22	1G-WJN6-34JP	17.98		2024-07-16 19:06:51 PDT		y	3			11				B0D9L8P1XL						850062760417				AMAZON_NA	Migrated Template	Active
NewEleven Fathers Day Gift For Dad - Birthday Gifts For Dad From Kids - Husband Gift - Birthday Present Ideas For Father, Husband, New Papa, Bonus Father From Daughter, Son - 20 Oz Tumbler	Tumbler	1031AP96OP4	1J-71GS-RJFC	19.98		2023-10-30 20:39:33 PDT		y	3			11				B0CM5RJ8VD						850057187212				AMAZON_NA	Migrated Template	Active
NewEleven Mothers Day Card, Cat Mom Gifts For Women, Cat Themed Gift, Best Cat Mom Ever For Mother's Day, Best Gifts For Cat Lovers Female, Unique Cats Lady Presents - Greeting Card	Celebrate the special bond between cats and their human companions with NewEleven's exclusive collection of greeting cards. Introducing our latest creation, the wonderful mothers day card for any cat lover, and an ideal choice for the best cat mom gifts. Uniquely designed with a touch of elegance and charm, this mothers day card from a cat is sure to bring a smile to the face of any recipient. Whether you're searching for cat gifts for women or cat lover gifts for women, this card serves as a thoughtful gesture that acknowledges the joy and companionship cats bring. As one of the best gifts for cat lovers, it will be cherished by any cat mom who receives it. Ideal for mother's day, this mothers day card cats is a unique way to convey your heartfelt messages, ensuring your loved ones feel truly appreciated. With options like the cat mom mothers day card and the mother's day card cat, you can express gratitude from the perspective of a beloved pet. These gifts from cats to mom are a delightful way to celebrate the nurturing spirit of cat mothers everywhere. The NewEleven cat mom card is the epitome of cute and creative, making it an excellent addition to any collection of funny cat gifts or cat-themed gifts for women. As a versatile card, it seamlessly fits into various occasions, whether as a cat mothers day card or a birthday gift. Choose NewEleven for your next special occasion and delight the cat lover in your life with a card that speaks volumes of love and companionship. Our commitment to quality and design ensures that each piece is not just a card, but a treasured keepsake. Elevate your gifting experience with NewEleven's exquisite collection of gifts for cat lovers for women.	0328FVQHKE5	1N-AZA8-HSBA	7.99		2025-03-28 03:20:03 PDT		y	3			11				B0F2TD7W6G						810181270754				AMAZON_NA	Migrated Template	Active
NewEleven Father Day Gifts For Brother From Sister, Bro - Gifts For Brothers - Best Birthday Gift For Big, Little Brother, Siblings, Brothers In Law, Men - 20 Oz Tumbler Navy	Tumbler	1114AR0ONEW	1O-O788-ZCZU	19.98		2023-11-13 23:27:58 PST		y	3			11				B0CN926PG1						850057187328				AMAZON_NA	Migrated Template	Active
NewEleven Coworker Leaving Gifts - Farewell Gifts, Going Away Gift For Coworker - New Job, Goodbye, Good Luck Gift For Coworkers, Colleagues, Boss, Men, Women, Friends - 20 Oz Tumbler	Tumbler	0510Z4YYHSX	1Q-FSNP-VBED	19.98		2022-05-10 02:24:27 PDT		y	3			11				B09ZYCD6GX						850041250151				AMAZON_NA	Migrated Template	Active
NewEleven 1985 40th Birthday Gifts For Women - 40 Year Old Birthday Gifts Idea For Women, Her, Mom, Wife - Turning 40 Gift For Woman - 20 Oz Tumbler	Tumbler	1106BUQBAU1	1Y-PY2P-6Q4W	21.98		2024-11-06 01:29:04 PST		y	3			11				B0DM61B4F2						810181270310				AMAZON_NA	Migrated Template	Active
