Reporting Range=["Quarterly"],Select year=["2023"],Select quarter=["2"],Brand=["NEWELEVEN"]
"ASIN title",ASIN,Category,"Impressions: Impressions","Impressions: Rating (Median)","Impressions: Price (Median)","Impressions: Same-Day Shipping Speed","Impressions: 1D Shipping Speed","Impressions: 2D Shipping Speed","Clicks: Clicks","Clicks: Click Rate (CTR)","Clicks: Price (Median)","Clicks: Same-Day Shipping Speed","Clicks: 1D Shipping Speed","Clicks: 2D Shipping Speed","Cart Adds: Cart Adds","Cart Adds: Price (Median)","Cart Adds: Same-Day Shipping Speed","Cart Adds: 1D Shipping Speed","Cart Adds: 2D Shipping Speed","Purchases: Purchases","Purchases: Search Traffic Sales","Purchases: Conversion Rate %","Purchases: Rating (Median)","Purchases: Price (Median)","Purchases: Same-Day Shipping Speed","Purchases: 1D Shipping Speed","Purchases: 2D Shipping Speed","Reporting Date"
"NewEleven Sister Gifts from Sister, Brother - Birthday Gifts For Sister - Gifts For Sister, Soul Sister, Big Sister, Little Sister, Sister In Law, Bestie, BFF, Women - 12 Oz Tumbler","B07W5KH9PJ","Kitchen","303",,"53.03","0","0","0","5","1.65","57.46","0","0","0","0",,"0","0","0","0","0.0","0.0",,,"0","0","0","2023-06-30"
"Gifts for Mom from Daughter, Son, Kids - Mothers Day Gifts for Mom, Women, Wife - Funny Best Birthday Gifts Ideas for Mom, Mother, Wife, New Mom, Bonus Mom, Mom to Be, Mother in Law - 12 Oz Tumbler","B07Y7ZQ265","Kitchen","780656",,"29.98","52958","325832","176053","5983","0.77","29.98","349","2318","1491","1653","29.98","88","678","390","529","16881.26","8.84",,"29.98","21","216","143","2023-06-30"
"30th Birthday Gifts for Women - 1990 30th Birthday Decorations for Her - Talk Thirty to Me Dirty 30 Gifts for Her, Best Friend, Wife, Daughter, Girlfriend - 12 oz Wine Tumbler","B085DT7SXL","Kitchen","722",,"61.22","0","0","0","2","0.28","51.25","0","0","0","0",,"0","0","0","0","0.0","0.0",,,"0","0","0","2023-06-30"
"Gifts for Dad from Daughter, Son, Kids - Birthday Gifts for Dad, New Dad - Fathers Day Gift for Dad, Husband, Men - Best Dad Bday Present Idea for a Father, Men, Him - Dad Mug, 20 Oz Tumbler","B088GX79HT","Kitchen","744366",,"32.98","42651","326642","93563","4521","0.61","32.98","237","1970","598","1108","32.98","57","432","133","272","8758.05","6.02",,"32.98","17","131","28","2023-06-30"
"40th Birthday Gifts Women - 1983 40th Birthday Decorations for Women - Gifts for Women Turning 40-40 Year Old Gifts for Her, Wife, Mom, Friends - 12 Oz Wine Tumbler","B089QFK8NV","Kitchen","3369",,"29.98","234","1165","1104","31","0.92","29.98","1","9","17","10","29.98","1","2","6","2","59.96","6.45",,"29.98","0","1","1","2023-06-30"
"50th Birthday Gifts for Women - 1973 50th Birthday Decorations for Women - Gifts for Women Turning 50 - Mothers Day Gifts 50 Year Old Gifts for Women, Mom, Wife - 12 oz Wine Tumbler","B089QFYLFB","Kitchen","42015",,"29.98","2088","17024","9316","342","0.81","29.98","22","143","62","123","29.98","8","56","23","49","1464.02","14.33",,"29.98","4","17","13","2023-06-30"
"Aprons For Men With Pockets - Fathers Day Gift For Dad, Men - Birthday Gifts for Men, Dad, Him, Husband, Boyfriend - Grill Cooking BBQ Kitchen Chef Apron","B08CDFWN1Q","Apparel","59195",,"29.98","10","136","70","818","1.38","29.98","0","1","1","230","29.98","0","0","1","84","2448.26","10.27",,"29.98","0","0","0","2023-06-30"
"21st Birthday Gifts For Women - 2000 21st Birthday Decorations For Women - Gifts For Women Turning 21 - 21 Year Old Birthday Gifts For Her, Daughter, Sisters, Friends - 12 oz Wine Tumbler","B08R8NVFHH","Kitchen","11",,"46.97","0","0","0","0","0.0",,"0","0","0","0",,"0","0","0","0","0.0",,,,"0","0","0","2023-06-30"
"Gifts For Grandma - Grandma Birthday Gifts - Mothers Day Gifts For Grandma, Grandmother, First Time Grandma, Nana, Gigi, Mimi, Grammy From Grandchildren, Granddaughter, Grandson - 12 Oz Wine Tumbler","B08R8P65YM","Kitchen","94",,"53.8","0","0","0","1","1.06","55.47","0","0","0","0",,"0","0","0","0","0.0","0.0",,,"0","0","0","2023-06-30"
"Aunt Gifts - Aunt Birthday Gift - Mothers Day Gifts For Aunt From Niece, Nephew - Best Aunt Ever Gifts, Best Auntie Gifts For Aunt, Aunt Announcement, Promoted To Aunt - 12 Oz Wine Tumbler","B08R8P896F","Kitchen","110",,"55.82","0","0","0","1","0.91","60.02","0","0","0","0",,"0","0","0","0","0.0","0.0",,,"0","0","0","2023-06-30"
