Reporting Range=["Quarterly"],Select year=["2023"],Select quarter=["3"],Brand=["NEWELEVEN"]
"ASIN title",ASIN,Category,"Impressions: Impressions","Impressions: Rating (Median)","Impressions: Price (Median)","Impressions: Same-Day Shipping Speed","Impressions: 1D Shipping Speed","Impressions: 2D Shipping Speed","Clicks: Clicks","Clicks: Click Rate (CTR)","Clicks: Price (Median)","Clicks: Same-Day Shipping Speed","Clicks: 1D Shipping Speed","Clicks: 2D Shipping Speed","Cart Adds: Cart Adds","Cart Adds: Price (Median)","Cart Adds: Same-Day Shipping Speed","Cart Adds: 1D Shipping Speed","Cart Adds: 2D Shipping Speed","Purchases: Purchases","Purchases: Search Traffic Sales","Purchases: Conversion Rate %","Purchases: Rating (Median)","Purchases: Price (Median)","Purchases: Same-Day Shipping Speed","Purchases: 1D Shipping Speed","Purchases: 2D Shipping Speed","Reporting Date"
"NewEleven Sister Gifts from Sister, Brother - Birthday Gifts For Sister - Gifts For Sister, Soul Sister, Big Sister, Little Sister, Sister In Law, Bestie, BFF, Women - 12 Oz Tumbler","B07W5KH9PJ","Kitchen","469",,"50.54","0","0","0","1","0.21","50.08","0","0","0","0",,"0","0","0","0","0.0","0.0",,,"0","0","0","2023-09-30"
"Gifts for Mom from Daughter, Son, Kids - Mothers Day Gifts for Mom, Women, Wife - Funny Best Birthday Gifts Ideas for Mom, Mother, Wife, New Mom, Bonus Mom, Mom to Be, Mother in Law - 12 Oz Tumbler","B07Y7ZQ265","Kitchen","212625",,"24.98","19534","89295","40180","1479","0.7","24.98","108","604","319","507","24.98","34","191","125","132","3221.36","8.92",,"24.98","10","64","29","2023-09-30"
"30th Birthday Gifts for Women - 1990 30th Birthday Decorations for Her - Talk Thirty to Me Dirty 30 Gifts for Her, Best Friend, Wife, Daughter, Girlfriend - 12 oz Wine Tumbler","B085DT7SXL","Kitchen","312",,"50.77","0","0","0","4","1.28","50.57","0","0","0","0",,"0","0","0","0","0.0","0.0",,,"0","0","0","2023-09-30"
"Gifts for Dad from Daughter, Son, Kids - Birthday Gifts for Dad, New Dad - Fathers Day Gift for Dad, Husband, Men - Best Dad Bday Present Idea for a Father, Men, Him - Dad Mug, 20 Oz Tumbler","B088GX79HT","Kitchen","72789",,"24.98","4567","31217","10863","423","0.58","24.98","25","193","67","126","24.98","9","53","20","34","875.32","8.04",,"24.98","2","19","5","2023-09-30"
"40th Birthday Gifts Women - 1983 40th Birthday Decorations for Women - Gifts for Women Turning 40-40 Year Old Gifts for Her, Wife, Mom, Friends - 12 Oz Wine Tumbler","B089QFK8NV","Kitchen","5837",,"21.98","344","1847","1673","83","1.42","21.98","7","22","32","34","21.98","4","6","14","10","240.8","12.05",,"24.98","1","3","3","2023-09-30"
"50th Birthday Gifts for Women - 1973 50th Birthday Decorations for Women - Gifts for Women Turning 50 - Mothers Day Gifts 50 Year Old Gifts for Women, Mom, Wife - 12 oz Wine Tumbler","B089QFYLFB","Kitchen","80014",,"24.98","5521","36053","16656","737","0.92","24.98","39","338","177","322","24.98","14","167","77","94","2522.98","12.75",,"24.98","4","48","24","2023-09-30"
"Aprons For Men With Pockets - Fathers Day Gift For Dad, Men - Birthday Gifts for Men, Dad, Him, Husband, Boyfriend - Grill Cooking BBQ Kitchen Chef Apron","B08CDFWN1Q","Apparel","22014",,"32.98","0","40","322","279","1.27","32.98","0","0","2","50","29.98","0","0","0","18","560.64","6.45",,"29.98","0","0","0","2023-09-30"
"21st Birthday Gifts For Women - 2000 21st Birthday Decorations For Women - Gifts For Women Turning 21 - 21 Year Old Birthday Gifts For Her, Daughter, Sisters, Friends - 12 oz Wine Tumbler","B08R8NVFHH","Kitchen","41",,"37.79","0","0","0","1","2.44","52.43","0","0","0","1","52.43","0","0","0","0","0.0","0.0",,,"0","0","0","2023-09-30"
"Gifts For Grandma - Grandma Birthday Gifts - Mothers Day Gifts For Grandma, Grandmother, First Time Grandma, Nana, Gigi, Mimi, Grammy From Grandchildren, Granddaughter, Grandson - 12 Oz Wine Tumbler","B08R8P65YM","Kitchen","52",,"49.89","0","0","0","1","1.92","51.43","0","0","0","0",,"0","0","0","0","0.0","0.0",,,"0","0","0","2023-09-30"
"NewEleven Aunt Gifts - Gifts For Aunt From Niece, Nephew - Birthday Gifts For Aunt, New Aunt, Auntie - Best Gifts For Aunt, Auntie, Aunt Announcement, Promoted To Aunt - 12 Oz Tumbler","B08R8P896F","Kitchen","54",,"45.78","0","0","0","1","1.85","45.45","0","0","0","0",,"0","0","0","0","0.0","0.0",,,"0","0","0","2023-09-30"
