Reporting Range=["Monthly"],Select year=["2025"],Select month=["April"],Brand=["NEWELEVEN"]
"ASIN title",ASIN,Category,"Impressions: Impressions","Impressions: Rating (Median)","Impressions: Price (Median)","Impressions: Same-Day Shipping Speed","Impressions: 1D Shipping Speed","Impressions: 2D Shipping Speed","Clicks: Clicks","Clicks: Click Rate (CTR)","Clicks: Price (Median)","Clicks: Same-Day Shipping Speed","Clicks: 1D Shipping Speed","Clicks: 2D Shipping Speed","Cart Adds: Cart Adds","Cart Adds: Price (Median)","Cart Adds: Same-Day Shipping Speed","Cart Adds: 1D Shipping Speed","Cart Adds: 2D Shipping Speed","Purchases: Purchases","Purchases: Search Traffic Sales","Purchases: Conversion Rate %","Purchases: Rating (Median)","Purchases: Price (Median)","Purchases: Same-Day Shipping Speed","Purchases: 1D Shipping Speed","Purchases: 2D Shipping Speed","Reporting Date"
"Gifts for Mom from Daughter, Son, Kids - Mothers Day Gifts for Mom, Women, Wife - Funny Best Birthday Gifts Ideas for Mom, Mother, Wife, New Mom, Bonus Mom, Mom to Be, Mother in Law - 12 Oz Tumbler","B07Y7ZQ265","Kitchen","55148",,"22.98","1650","28875","13209","336","0.61","22.98","5","164","73","88","22.98","2","40","20","20","459.6","5.95",,"22.98","2","14","1","2025-04-30"
"Gifts for Dad from Daughter, Son, Kids - Birthday Gifts for Dad, New Dad - Fathers Day Gift for Dad, Husband, Men - Best Dad Bday Present Idea for a Father, Men, Him - Dad Mug, 20 Oz Tumbler","B088GX79HT","Kitchen","4164",,"22.98","103","2071","945","38","0.91","22.98","0","20","9","20","22.98","0","11","5","7","160.86","18.42",,"22.98","0","6","0","2025-04-30"
"40th Birthday Gifts Women - 1984 40th Birthday Decorations for Women - Gifts for Women Turning 40-40 Year Old Gifts for Her, Wife, Mom, Friends - 12 Oz Wine Tumbler","B089QFK8NV","Kitchen","24",,"46.16","0","0","0","0","0.0",,"0","0","0","0",,"0","0","0","0","0.0",,,,"0","0","0","2025-04-30"
"50th Birthday Gifts for Women - 1974 50th Birthday Decorations for Women - Gifts for Women Turning 50 - Mothers Day Gifts 50 Year Old Gifts for Women, Mom, Wife - 12 oz Wine Tumbler","B089QFYLFB","Kitchen","19653",,"24.98","912","12532","3626","173","0.88","24.98","13","111","35","88","24.98","6","55","16","32","949.24","18.5",,"24.98","2","18","7","2025-04-30"
"NewEleven Fathers Day Gift For Men, Dad, Husband, Him - Aprons For Men With Pockets - Funny Gifts For Men, Dad, Husband, Boyfriend, Him, Brother, Uncle - Grill Cooking BBQ Kitchen Chef Apron","B08CDFWN1Q","Apparel","11514",,"18.98","94","5533","3526","84","0.73","18.98","0","38","25","29","18.98","0","14","7","7","133.86","8.33",,"18.98","0","3","2","2025-04-30"
"60th Birthday Gifts for Women - 1965 60th Birthday Decorations for Women - Birthday Gifts for 60 Year Old Woman - 60 Years Old Gifts Ideas for Woman Turning 60, Mom, Wife, Friends- 12 oz Wine Tumbler","B08R8PXYL6","Kitchen","19888",,"24.98","1114","13224","3261","138","0.69","24.98","10","90","17","68","24.98","4","48","6","18","449.64","13.04",,"24.98","1","14","1","2025-04-30"
"40th Birthday Gifts for Men, Women - 1984 40th Birthday Decorations for Men, Women - Gifts for Women Turning 40-40 Year Old Gifts for Men, Him, Her, Husband, Wife, Dad, Mom, Friends - 20 Oz Tumbler","B08R8R2LQF","Kitchen","19757",,"24.98","700","12957","3601","199","1.01","24.98","8","130","30","102","24.98","4","69","14","36","924.26","18.09",,"24.98","3","22","7","2025-04-30"
"50th Birthday Gifts for Women Men - 1973 50th Birthday Decorations for Men Women - Gifts for Women Turning 50-50 Year Old Gifts for Women, Men, Mom, Dad, Husband, Wife - 20 Oz Tumbler","B08R8SW1NM","Kitchen","103",,"39.04","0","0","0","0","0.0",,"0","0","0","0",,"0","0","0","0","0.0",,,,"0","0","0","2025-04-30"
"NEWELEVEN Coworker Leaving Gift - Farewell, Going Away, New Job, Goodbye, Good Luck for Colleagues, Boss, Men, Women, Friends - 20 Oz Tumbler","B08Y8RZRHG","Kitchen","14",,"52.17","0","0","0","0","0.0",,"0","0","0","0",,"0","0","0","0","0.0",,,,"0","0","0","2025-04-30"
"Gifts for Dad from Daughter, Son, Kids - Birthday Gifts for Dad, New Dad - Fathers Day Gift for Dad, Husband, Men - Best Dad Bday Present Idea for a Father, Men, Him - Dad Mug, 20 Oz Tumbler","B08ZKZ1FJK","Kitchen","31246",,"22.98","2046","18500","5991","173","0.55","22.98","9","108","35","64","22.98","4","41","13","15","344.7","8.67",,"22.98","1","13","1","2025-04-30"
"NewEleven Retirement Gift for Women 2024 - Happy Retirement, Coworker Leaving, Farewell, Goodbye for Coworkers, Friends - 12 Oz Tumbler","B08ZRWW1W4","Kitchen","31785",,"23.98","1674","21622","4661","321","1.01","23.98","18","229","44","156","23.98","15","107","20","41","983.18","12.77",,"23.98","6","31","2","2025-04-30"
"NewEleven Fathers Day Gift For Men, Dad, Husband, Him - Aprons For Men With Pockets - Funny Gifts For Men, Dad, Husband, Boyfriend, Him, Brother, Uncle - Grill Cooking BBQ Kitchen Chef Apron","B08ZYGT8SH","Apparel","3737",,"19.98","21","577","781","40","1.07","19.98","1","7","9","12","19.98","0","2","1","4","79.92","10.0",,"19.98","0","1","0","2025-04-30"
"NewEleven Aprons For Men With Pockets - Gifts For Men, Dad - Birthday Gifts for Men, Dad, Husband, Boyfriend, Him - Grill Cooking BBQ Kitchen Chef Apron","B091F4PHBQ","Apparel","6849",,"19.98","176","2245","2126","90","1.31","19.98","1","26","28","24","19.98","0","9","4","10","219.78","11.11",,"19.98","0","3","2","2025-04-30"
"Funny Aprons For Men With Pockets - Gifts For Boyfriend, Husband - Husband Gifts From Wife - Birthday Gifts For Husband, Men, Him, Boyfriend, Fiance, Friends - Grill Cooking Bbq Kitchen Chef Apron","B091F544N7","Apparel","8864",,"18.98","283","3546","2427","223","2.52","18.98","9","93","57","46","18.98","1","23","10","17","341.64","7.62",,"18.98","1","9","3","2025-04-30"
"NewEleven Coworker Leaving Gifts - Farewell Gifts, Going Away Gift For Coworker - New Job, Goodbye, Good Luck Gift For Coworkers, Colleagues, Boss, Men, Women, Friends - 20 Oz Tumbler","B092HNBJT6","Kitchen","14",,"54.67","0","0","0","0","0.0",,"0","0","0","0",,"0","0","0","0","0.0",,,,"0","0","0","2025-04-30"
"NewEleven Fathers Day Gift For Grandpa From Granddaughter, Grandson - Birthday Present Ideas For Grandfather, New Grampa, Promoted To Grandfather, Grandchildren, Grandkid - 20 Oz Tumbler","B094CFGN42","Kitchen","25",,,"0","0","0","0","0.0",,"0","0","0","0",,"0","0","0","0","0.0",,,,"0","0","0","2025-04-30"
"NewEleven Retirement Gifts For Woman 2025 - Retired Gift For Coworker Leaving - Farewell, Goodbye Presents For Women, Coworkers, Friends - 20 Oz Tumbler","B095S16WV3","Kitchen","9",,"41.02","0","0","0","0","0.0",,"0","0","0","0",,"0","0","0","0","0.0",,,,"0","0","0","2025-04-30"
"NewEleven Retirement Gifts For Woman 2025 - Happy Retirement Gifts For Coworker Leaving - Farewell, Goodbye Presents For Women, Coworkers, Friends - 20 Oz Tumbler","B095S1818R","Kitchen","3",,"56.52","0","0","0","0","0.0",,"0","0","0","0",,"0","0","0","0","0.0",,,,"0","0","0","2025-04-30"
"NewEleven Gifts For Him, Men - Gift For Men, Women, Dad, Husband, Friend - Thank You Gifts, Appreciation Gift, Graduation Presents For Men, Nurse, Teacher, Boss, Coworker - 20 Oz Tumbler","B0978WGWY4","Kitchen","1256",,"19.98","27","782","287","9","0.72","19.98","0","5","3","6","19.98","0","4","1","2","39.96","22.22",,"19.98","0","2","0","2025-04-30"
"NewEleven Gifts for Brother - Brother Gifts from Sister, Brother - Big Brother Gifts, Little Brother Gifts - Birthday Gifts for Brothers from Sisters, Brother, Siblings - 20 Oz Tumbler","B09792XF8F","Kitchen","31794",,"22.98","911","19129","7028","138","0.43","22.98","7","75","25","57","22.98","3","28","14","12","275.76","8.7",,"22.98","2","5","2","2025-04-30"
"NewEleven Gifts for Mom - Gifts for Mom from Daughter, Son, Kids - Unique Birthday Gifts for Mom, Mother, Wife, New Mom, Bonus Mom, Pregnant Mom - Funny Gifts Ideas for Mom - 20 Oz Tumbler","B097B9H21P","Kitchen","10949",,"19.98","696","6256","2361","136","1.24","19.98","12","76","26","25","19.98","5","12","2","6","121.88","4.41",,"19.98","1","5","0","2025-04-30"
"NewEleven Gifts for Dad from Daughter, Son, Kids - Birthday Gift for Dad, Husband, Men - Best Present Idea for Father, Husband, Bonus Dad from Daughter, Son, Wife - 20 Oz Tumbler","B097B9SY89","Kitchen","8346",,"19.98","456","5401","1404","106","1.27","19.98","6","62","21","18","19.98","2","12","2","4","79.92","3.77",,"19.98","0","4","0","2025-04-30"
"NewEleven Uncle Gifts - Gifts for Uncle from Niece, Nephew - Uncle Birthday Gifts - Best Gifts for New Uncle, Funcle, Uncle Announcement - 20 Oz Tumbler","B097H6PJCN","Kitchen","297",,"49.16","0","0","0","2","0.67","49.16","0","0","0","0",,"0","0","0","0","0.0","0.0",,,"0","0","0","2025-04-30"
"Replacement Lid For 20 Oz NewEleven Tumbler - Pack of 2 lids","B0995JRMHP","Home","24",,"31.94","0","0","0","0","0.0",,"0","0","0","0",,"0","0","0","0","0.0",,,,"0","0","0","2025-04-30"
"NewEleven Bride To Be Gifts For Her - Wedding Gifts For Bride - Bridal Shower Gift, Bachelorette Gifts For Bride - Engagement Gifts For Women - Bridal Gifts For Bride To Be, Fiancee - 20 Oz Tumbler","B09B9PKM9M","Kitchen","40",,"29.98","0","21","13","0","0.0",,"0","0","0","0",,"0","0","0","0","0.0",,,,"0","0","0","2025-04-30"
"Birthday Gifts for Women - Mothers Day Gifts, Thank You Gifts, Women Gifts, Graduation Gifts for Women, Best Friend, Sister, Mom, Wife, Aunt, Her, Daughter, Coworker, Employee - 20 Oz Tumbler","B09TT1GGMM","Kitchen","11",,"49.7","0","0","1","0","0.0",,"0","0","0","0",,"0","0","0","0","0.0",,,,"0","0","0","2025-04-30"
"Coworker Leaving Gift - Farewell, Going Away, New Job, Goodbye, Good Luck for Colleagues, Boss, Men, Women, Friends - 20 Oz Tumbler","B09XDFF8FF","Kitchen","25742",,"24.98","3130","17608","2851","441","1.71","24.98","48","307","52","81","24.98","12","61","5","21","524.58","4.76",,"24.98","3","15","2","2025-04-30"
"NewEleven Retirement Gifts For Women 2024 - Happy Retirement Party Decorations - Coworker Leaving Gifts, Farewell Gifts, Goodbye Gifts For Coworkers, Friends - 20 Oz Tumbler","B09XDFLNR8","Kitchen","9",,"52.24","0","0","0","0","0.0",,"0","0","0","0",,"0","0","0","0","0.0",,,,"0","0","0","2025-04-30"
"Retirement Gifts For Women 2022 - Retired Gifts For Women - Female Retirement Gifts - Coworker Leaving Gifts, Farewell Gifts, Goodbye Gift For Women, Colleagues, Coworkers, Friends - 12Oz Wine Tumbler","B0B2WGL9ZW","Kitchen","7",,"52.71","0","0","0","0","0.0",,"0","0","0","0",,"0","0","0","0","0.0",,,,"0","0","0","2025-04-30"
"Coworker Leaving Gifts - Farewell Gifts, Going Away Gift For Coworker - New Job, Goodbye, Good Luck Gifts For Coworkers, Colleagues, Boss, Men, Women, Friends - 20 Oz Tumbler","B0B9RHZGFG","Kitchen","15",,"64.55","0","0","0","0","0.0",,"0","0","0","0",,"0","0","0","0","0.0",,,,"0","0","0","2025-04-30"
"NewEleven Retirement Gifts For Women 2024 - Happy Retirement Gifts - Coworker Leaving Gifts, Farewell Gifts, Goodbye Gifts For Coworkers, Friends - 12 Oz Tumbler","B0B9RLH8RV","Kitchen","3",,"61.92","0","0","0","0","0.0",,"0","0","0","0",,"0","0","0","0","0.0",,,,"0","0","0","2025-04-30"
"NewEleven Mothers Day Gifts for Mom - Unique Birthday Gifts for Mom, Mother, Wife, New Mom, Bonus Mom, Pregnant Mom - 16 Oz Coffee Glass","B0B9SF2R4R","Kitchen","48",,"45.98","0","0","0","0","0.0",,"0","0","0","0",,"0","0","0","0","0.0",,,,"0","0","0","2025-04-30"
"NewEleven Mothers Day Gifts For Aunt From Niece, Nephew - Cool Gifts For New Aunt, Auntie, Sister - Aunts Birthday Gift - Announcement, Promoted To Aunty, Best Auntie Ever - 16 Oz Coffee Glass","B0BC8SB3Y4","Kitchen","125",,"39.96","0","0","0","0","0.0",,"0","0","0","0",,"0","0","0","0","0.0",,,,"0","0","0","2025-04-30"
"NewEleven Mothers Day Gifts For Wife, Her - Wife Gifts From Husband - Gift For Her - Gift Ideas For Women, Bride To Be, Fiancee, Wifey - 16 Oz Coffee Glass","B0BDLH8KX3","Kitchen","182",,"35.24","0","0","0","0","0.0",,"0","0","0","0",,"0","0","0","0","0.0",,,,"0","0","0","2025-04-30"
"NewEleven Cute Glass Coffee Cups With Lids And Straw – Aesthetic Cups – Iced Coffee Cup, Coffee Tumbler, Glass Tumbler – Christmas Gifts For Women, Coffee Lover - 16 Oz Coffee Glass","B0BHVNXNYL","Kitchen","13",,"45.28","0","0","0","0","0.0",,"0","0","0","0",,"0","0","0","0","0.0",,,,"0","0","0","2025-04-30"
"NewEleven Mother Day Gift for Mom - Gifts for Mom from Daughter, Son, Kids - Unique Birthday Gifts for Mom, New Mom, Bonus Mom, Pregnant Mom - Funny Gifts Ideas for Mom - 16 Oz Coffee Glass","B0BHWDNYVL","Kitchen","1643",,"19.98","107","918","377","13","0.79","19.98","0","10","2","1","19.98","0","1","0","0","0.0","0.0",,,"0","0","0","2025-04-30"
"Christmas Gifts For Women - Best Friend Birthday Gifts For Women – Female Friendship Gifts, Sisters Gifts From Sister - Funny Bday Presents Unique Gifts For Her, BFF, Bestie - 16 Oz Coffee Glass","B0BRB5SPYZ","Kitchen","2",,"49.59","0","0","0","0","0.0",,"0","0","0","0",,"0","0","0","0","0.0",,,,"0","0","0","2025-04-30"
"NewEleven Galentines Gifts For Sister From Sister, Brother - Unique Birthday Present For Sister, Soul Sister, Big Sister, Little Sister, Sister In Law, Sibling, Bestie - 16 Oz Coffee Glass","B0BRB6J55H","Kitchen","4",,"68.27","0","0","0","0","0.0",,"0","0","0","0",,"0","0","0","0","0.0",,,,"0","0","0","2025-04-30"
"NewEleven Coworker Leaving Gifts - Gifts For Coworker Farewell, Going Away, Goodbye, New Job - Good Luck Presents For Friends, Boss, Women, Work Bestie – 16 Oz Coffee Glass","B0BRB6NJCT","Kitchen","15",,"46.5","0","0","0","0","0.0",,"0","0","0","0",,"0","0","0","0","0.0",,,,"0","0","0","2025-04-30"
"Bride To Be Gifts For Her - Wedding Gifts For Bride - Bridal Shower Engagement Gifts For Women - Bachelorette Gifts For Bride, Fiancee, Wifey - Bachelorette Party Decorations - 16 Oz Coffee Glass","B0BRCCZLL8","Kitchen","3",,"43.69","0","0","0","0","0.0",,"0","0","0","0",,"0","0","0","0","0.0",,,,"0","0","0","2025-04-30"
"NEWELEVEN Christmas Gifts For Women Friendship - Funny Gifts For Friends Female - Unique Friendship Gifts For Women, Friend, Female, Bestie, Bff, Soul Sister, Work Bestie - 16 Oz Coffee Glass","B0BRCDZRSP","Kitchen","15",,"48.13","0","0","0","0","0.0",,"0","0","0","0",,"0","0","0","0","0.0",,,,"0","0","0","2025-04-30"
"NewEleven Gifts For Dog Lovers, Dog Owners, Dog Mama, Dog Mom, Fur Mama - Dog Mom Gifts For Women - Cute Funny Gifts For Women, Best Friend, Girlfriend - 16 Oz Coffee Glass","B0BRCG7S9H","Kitchen","22",,"38.09","0","0","0","0","0.0",,"0","0","0","0",,"0","0","0","0","0.0",,,,"0","0","0","2025-04-30"
"NewEleven Mothers Day Gifts For Sister From Sister, Brother - Unique Birthday Present For Sister, Soul Sister, Big Sister, Little Sister, Sister In Law, Sibling, Bestie - 16 Oz Coffee Glass","B0BYCSHGYX","Kitchen","10",,"62.05","0","0","0","0","0.0",,"0","0","0","0",,"0","0","0","0","0.0",,,,"0","0","0","2025-04-30"
"NewEleven Mothers Day Gifts for Aunt from Niece, Nephew - Cool Gifts for Auntie, Sister - Aunty Birthday Gift - Announcement, Promoted to Aunt - 16 Oz Coffee Glass","B0BYCT1SRJ","Kitchen","22547",,"22.98","1507","15296","3174","297","1.32","22.98","30","196","43","153","22.98","12","100","24","32","690.45","10.77",,"22.98","4","24","1","2025-04-30"
"NewEleven Gifts For Nurse - Nurse Gifts For Women - Caregiver Appreciation Gift, Nursing Student, Nurses Practitioner - RN Gift For Nurses Women - 16 Oz Coffee Glass","B0BYDBW7PH","Kitchen","15",,"49.59","0","0","0","0","0.0",,"0","0","0","0",,"0","0","0","0","0.0",,,,"0","0","0","2025-04-30"
"NEWELEVEN Gifts for Book Lovers - Book Lovers Gifts for Women - Bookish Gifts for Readers, Librarians, Bookaholics, Bookworm - Birthday Gifts for Women, Her, Best Friend – 16 Oz Coffee Glass","B0BYDDFNBD","Kitchen","23307",,"23.98","1209","14902","3837","237","1.02","23.98","14","151","40","90","23.98","5","59","12","17","407.66","7.17",,"23.98","0","14","3","2025-04-30"
"Birthday Gifts For Women - Best Friend Giftss for Women – Female Friendship Gifts, Sisters Gifts From Sister - Funny Birthday Presents Unique Gag Gifts For BFF, Bestie, Coworker - Lavender Candle 8 Oz","B0BYHP62T5","Home","20",,"38.18","0","0","0","0","0.0",,"0","0","0","0",,"0","0","0","0","0.0",,,,"0","0","0","2025-04-30"
"NewEleven Cute Glass Coffee Cups With Lids And Straw – Aesthetic Cups – Iced Coffee Cup, Coffees Tumbler – Galentines Gifts For Women, Coffees Lover - 16 Oz Coffee Glass","B0C1BS7BV8","Kitchen","9",,"53.93","0","0","0","0","0.0",,"0","0","0","0",,"0","0","0","0","0.0",,,,"0","0","0","2025-04-30"
