Reporting Range=["Monthly"],Select year=["2025"],Select month=["June"],Brand=["NEWELEVEN"]
"ASIN title",ASIN,Category,"Impressions: Impressions","Impressions: Rating (Median)","Impressions: Price (Median)","Impressions: Same-Day Shipping Speed","Impressions: 1D Shipping Speed","Impressions: 2D Shipping Speed","Clicks: Clicks","Clicks: Click Rate (CTR)","Clicks: Price (Median)","Clicks: Same-Day Shipping Speed","Clicks: 1D Shipping Speed","Clicks: 2D Shipping Speed","Cart Adds: Cart Adds","Cart Adds: Price (Median)","Cart Adds: Same-Day Shipping Speed","Cart Adds: 1D Shipping Speed","Cart Adds: 2D Shipping Speed","Purchases: Purchases","Purchases: Search Traffic Sales","Purchases: Conversion Rate %","Purchases: Rating (Median)","Purchases: Price (Median)","Purchases: Same-Day Shipping Speed","Purchases: 1D Shipping Speed","Purchases: 2D Shipping Speed","Reporting Date"
"Gifts for Mom from Daughter, Son, Kids - Mothers Day Gifts for Mom, Women, Wife - Funny Best Birthday Gifts Ideas for Mom, Mother, Wife, New Mom, Bonus Mom, Mom to Be, Mother in Law - 12 Oz Tumbler","B07Y7ZQ265","Kitchen","1757",,"42.17","0","0","0","2","0.11","43.79","0","0","0","0",,"0","0","0","0","0.0","0.0",,,"0","0","0","2025-06-30"
"Gifts for Dad from Daughter, Son, Kids - Birthday Gifts for Dad, New Dad - Fathers Day Gift for Dad, Husband, Men - Best Dad Bday Present Idea for a Father, Men, Him - Dad Mug, 20 Oz Tumbler","B088GX79HT","Kitchen","1134",,"29.72","0","0","0","12","1.06","29.72","0","0","0","1","29.72","0","0","0","0","0.0","0.0",,,"0","0","0","2025-06-30"
"40th Birthday Gifts Women - 1984 40th Birthday Decorations for Women - Gifts for Women Turning 40-40 Year Old Gifts for Her, Wife, Mom, Friends - 12 Oz Wine Tumbler","B089QFK8NV","Kitchen","36",,"43.45","0","0","0","1","2.78","45.81","0","0","0","1","45.81","0","0","0","0","0.0","0.0",,,"0","0","0","2025-06-30"
"50th Birthday Gifts for Women - 1974 50th Birthday Decorations for Women - Gifts for Women Turning 50 - Mothers Day Gifts 50 Year Old Gifts for Women, Mom, Wife - 12 oz Wine Tumbler","B089QFYLFB","Kitchen","26043",,"24.98","1438","15668","5836","242","0.93","24.98","20","146","47","112","24.98","8","70","19","25","624.5","10.33",,"24.98","2","11","8","2025-06-30"
"NewEleven Fathers Day Gift For Men, Dad, Husband, Him - Aprons For Men With Pockets - Funny Gifts For Men, Dad, Husband, Boyfriend, Him, Brother, Uncle - Grill Cooking BBQ Kitchen Chef Apron","B08CDFWN1Q","Apparel","23453",,"22.98","223","4397","8470","272","1.16","18.98","4","75","91","80","18.98","1","13","34","29","594.4","10.66",,"18.98","1","6","10","2025-06-30"
"60th Birthday Gifts for Women - 1965 60th Birthday Decorations for Women - Birthday Gifts for 60 Year Old Woman - 60 Years Old Gifts Ideas for Woman Turning 60, Mom, Wife, Friends- 12 oz Wine Tumbler","B08R8PXYL6","Kitchen","18271",,"24.98","563","4450","6208","146","0.8","24.98","2","41","48","78","24.98","2","22","19","22","549.56","15.07",,"24.98","1","7","8","2025-06-30"
"40th Birthday Gifts for Men, Women - 1984 40th Birthday Decorations for Men, Women - Gifts for Women Turning 40-40 Year Old Gifts for Men, Him, Her, Husband, Wife, Dad, Mom, Friends - 20 Oz Tumbler","B08R8R2LQF","Kitchen","28020",,"24.98","1185","18857","5500","189","0.67","24.98","12","128","33","94","24.98","6","63","18","27","674.46","14.29",,"24.98","1","20","4","2025-06-30"
"50th Birthday Gifts for Women Men - 1973 50th Birthday Decorations for Men Women - Gifts for Women Turning 50-50 Year Old Gifts for Women, Men, Mom, Dad, Husband, Wife - 20 Oz Tumbler","B08R8SW1NM","Kitchen","97",,"36.34","0","0","0","0","0.0",,"0","0","0","0",,"0","0","0","0","0.0",,,,"0","0","0","2025-06-30"
"NEWELEVEN Coworker Leaving Gift - Farewell, Going Away, New Job, Goodbye, Good Luck for Colleagues, Boss, Men, Women, Friends - 20 Oz Tumbler","B08Y8RZRHG","Kitchen","10",,"56.36","0","0","0","0","0.0",,"0","0","0","0",,"0","0","0","0","0.0",,,,"0","0","0","2025-06-30"
"Gifts for Dad from Daughter, Son, Kids - Birthday Gifts for Dad, New Dad - Fathers Day Gift for Dad, Husband, Men - Best Dad Bday Present Idea for a Father, Men, Him - Dad Mug, 20 Oz Tumbler","B08ZKZ1FJK","Kitchen","40118",,"23.98","2306","21210","8100","465","1.16","23.98","20","260","105","124","19.53","7","63","32","43","933.24","9.25",,"19.53","2","29","8","2025-06-30"
"NewEleven Retirement Gift for Women 2024 - Happy Retirement, Coworker Leaving, Farewell, Goodbye for Coworkers, Friends - 12 Oz Tumbler","B08ZRWW1W4","Kitchen","70874",,"23.98","2927","40560","15347","583","0.82","23.98","25","333","138","277","23.98","15","166","57","90","2268.12","15.44",,"23.98","7","58","16","2025-06-30"
"NewEleven Fathers Day Gift For Men, Dad, Husband, Him - Aprons For Men With Pockets - Funny Gifts For Men, Dad, Husband, Boyfriend, Him, Brother, Uncle - Grill Cooking BBQ Kitchen Chef Apron","B08ZYGT8SH","Apparel","12668",,"19.98","109","2025","3709","160","1.26","19.98","2","31","41","38","19.98","1","9","9","14","291.72","8.75",,"19.98","0","5","4","2025-06-30"
"NewEleven Fathers Day Gift For Dad - Aprons Gifts For Men With Pockets - Birthday Gifts for Men, Dad, Husband, Boyfriend, Him - Grill Cooking BBQ Kitchen Chef Apron","B091F4PHBQ","Apparel","2316",,"19.98","51","374","758","16","0.69","19.98","0","4","4","3","19.98","0","0","1","0","0.0","0.0",,,"0","0","0","2025-06-30"
"NewEleven Fathers Day Gift For Men, Dad, Husband, Him - Aprons For Men With Pockets - Funny Gifts For Men, Dad, Husband, Boyfriend, Him, Brother, Uncle - Grill Cooking BBQ Kitchen Chef Apron","B091F544N7","Apparel","9123",,"19.98","94","1649","2582","202","2.21","19.98","1","44","62","40","18.98","0","11","11","9","174.82","4.46",,"18.98","0","2","4","2025-06-30"
"NewEleven Coworker Leaving Gifts - Farewell Gifts, Going Away Gift For Coworker - New Job, Goodbye, Good Luck Gift For Coworkers, Colleagues, Boss, Men, Women, Friends - 20 Oz Tumbler","B092HNBJT6","Kitchen","5",,"51.85","0","0","0","0","0.0",,"0","0","0","0",,"0","0","0","0","0.0",,,,"0","0","0","2025-06-30"
"NewEleven Fathers Day Gift For Grandpa From Granddaughter, Grandson - Birthday Present Ideas For Grandfather, New Grampa, Promoted To Grandfather, Grandchildren, Grandkid - 20 Oz Tumbler","B094CFGN42","Kitchen","4",,,"0","0","0","0","0.0",,"0","0","0","0",,"0","0","0","0","0.0",,,,"0","0","0","2025-06-30"
"NewEleven Retirement Gifts For Woman 2025 - Retired Gift For Coworker Leaving - Farewell, Goodbye Presents For Women, Coworkers, Friends - 20 Oz Tumbler","B095S16WV3","Kitchen","6",,"38.13","0","0","0","0","0.0",,"0","0","0","0",,"0","0","0","0","0.0",,,,"0","0","0","2025-06-30"
"NewEleven Retirement Gifts For Woman 2025 - Happy Retirement Gifts For Coworker Leaving - Farewell, Goodbye Presents For Women, Coworkers, Friends - 20 Oz Tumbler","B095S1818R","Kitchen","16",,"44.63","0","0","0","1","6.25","44.86","0","0","0","0",,"0","0","0","0","0.0","0.0",,,"0","0","0","2025-06-30"
