Reporting Range=["Quarterly"],Select year=["2024"],Select quarter=["4"],Brand=["NEWELEVEN"]
"ASIN title",ASIN,Category,"Impressions: Impressions","Impressions: Rating (Median)","Impressions: Price (Median)","Impressions: Same-Day Shipping Speed","Impressions: 1D Shipping Speed","Impressions: 2D Shipping Speed","Clicks: Clicks","Clicks: Click Rate (CTR)","Clicks: Price (Median)","Clicks: Same-Day Shipping Speed","Clicks: 1D Shipping Speed","Clicks: 2D Shipping Speed","Cart Adds: Cart Adds","Cart Adds: Price (Median)","Cart Adds: Same-Day Shipping Speed","Cart Adds: 1D Shipping Speed","Cart Adds: 2D Shipping Speed","Purchases: Purchases","Purchases: Search Traffic Sales","Purchases: Conversion Rate %","Purchases: Rating (Median)","Purchases: Price (Median)","Purchases: Same-Day Shipping Speed","Purchases: 1D Shipping Speed","Purchases: 2D Shipping Speed","Reporting Date"
"gvds25982","B07W5KH9PJ","Kitchen","8",,,"0","0","0","0","0.0",,"0","0","0","0",,"0","0","0","0","0.0",,,,"0","0","0","2024-12-31"
"Gifts for Mom from Daughter, Son, Kids - Mothers Day Gifts for Mom, Women, Wife - Funny Best Birthday Gifts Ideas for Mom, Mother, Wife, New Mom, Bonus Mom, Mom to Be, Mother in Law - 12 Oz Tumbler","B07Y7ZQ265","Kitchen","333496",,"19.98","7237","132223","66069","2189","0.66","19.98","25","850","449","735","19.98","11","283","159","204","4467.82","9.32",,"19.98","2","77","41","2024-12-31"
"30th Birthday Gifts for Women - 1990 30th Birthday Decorations for Her - Talk Thirty to Me Dirty 30 Gifts for Her, Best Friend, Wife, Daughter, Girlfriend - 12 oz Wine Tumbler","B085DT7SXL","Kitchen","124",,"44.11","0","0","0","0","0.0",,"0","0","0","0",,"0","0","0","0","0.0",,,,"0","0","0","2024-12-31"
"Gifts for Dad from Daughter, Son, Kids - Birthday Gifts for Dad, New Dad - Fathers Day Gift for Dad, Husband, Men - Best Dad Bday Present Idea for a Father, Men, Him - Dad Mug, 20 Oz Tumbler","B088GX79HT","Kitchen","109119",,"21.98","2524","46606","24218","800","0.73","21.98","20","332","179","279","21.98","4","115","63","72","1560.54","9.0",,"18.98","0","28","16","2024-12-31"
"40th Birthday Gifts Women - 1984 40th Birthday Decorations for Women - Gifts for Women Turning 40-40 Year Old Gifts for Her, Wife, Mom, Friends - 12 Oz Wine Tumbler","B089QFK8NV","Kitchen","134",,"38.22","0","0","0","0","0.0",,"0","0","0","0",,"0","0","0","0","0.0",,,,"0","0","0","2024-12-31"
"50th Birthday Gifts for Women - 1974 50th Birthday Decorations for Women - Gifts for Women Turning 50 - Mothers Day Gifts 50 Year Old Gifts for Women, Mom, Wife - 12 oz Wine Tumbler","B089QFYLFB","Kitchen","51115",,"19.98","1355","23022","11566","510","1.0","19.98","16","228","124","259","19.98","8","118","70","77","1704.38","15.1",,"19.98","2","44","20","2024-12-31"
"NewEleven Fathers Day Gift For Men, Dad, Husband, Him - Aprons For Men With Pockets - Funny Gifts For Men, Dad, Husband, Boyfriend, Him, Brother, Uncle - Grill Cooking BBQ Kitchen Chef Apron","B08CDFWN1Q","Apparel","4093",,"21.98","24","1355","740","38","0.93","21.98","0","16","4","11","21.98","0","7","0","3","60.75","7.89",,"21.98","0","1","0","2024-12-31"
"60th Birthday Gifts for Women - 1964 60th Birthday Decorations for Women - Birthday Gifts for 60 Year Old Woman - 60 Years Old Gifts Ideas for Women Turning 60, Mom, Wife, Friends- 12 oz Wine Tumbler","B08R8PXYL6","Kitchen","1706",,"28.98","14","316","233","7","0.41","25.98","0","5","0","5","25.98","0","4","0","2","51.96","28.57",,"25.98","0","2","0","2024-12-31"
"40th Birthday Gifts for Men, Women - 1984 40th Birthday Decorations for Men, Women - Gifts for Women Turning 40-40 Year Old Gifts for Men, Him, Her, Husband, Wife, Dad, Mom, Friends - 20 Oz Tumbler","B08R8R2LQF","Kitchen","74663",,"22.98","729","25018","16447","507","0.68","22.98","11","186","123","210","22.98","5","88","51","62","1431.12","12.23",,"22.98","3","25","14","2024-12-31"
"50th Birthday Gifts for Women Men - 1973 50th Birthday Decorations for Men Women - Gifts for Women Turning 50-50 Year Old Gifts for Women, Men, Mom, Dad, Husband, Wife - 20 Oz Tumbler","B08R8SW1NM","Kitchen","710",,"38.96","0","0","0","3","0.42","46.1","0","0","0","1","46.1","0","0","0","0","0.0","0.0",,,"0","0","0","2024-12-31"
"NewEleven Coworker Leaving Gifts - Farewell Gifts, Going Away Gift For Coworker - New Job, Goodbye, Good Luck Gifts For Coworkers, Colleagues, Boss, Men, Women, Friends - 20 Oz Tumbler","B08Y8RZRHG","Kitchen","9",,"60.94","0","0","0","0","0.0",,"0","0","0","0",,"0","0","0","0","0.0",,,,"0","0","0","2024-12-31"
"NewEleven Mothers Day Gifts For Mom - Gifts For Mom From Daughter, Son, Kids - Unique Birthday Gifts For Mom, Mother, Wife, New Mom, Bonus Mom, Pregnant Mom - Funny Gifts Ideas For Mom - 20 Oz Tumbler","B08ZKX6YK9","Kitchen","1779",,"45.37","0","0","0","9","0.51","48.37","0","0","0","1","49.02","0","0","0","0","0.0","0.0",,,"0","0","0","2024-12-31"
"Gifts for Dad from Daughter, Son, Kids - Birthday Gifts for Dad, New Dad - Fathers Day Gift for Dad, Husband, Men - Best Dad Bday Present Idea for a Father, Men, Him - Dad Mug, 20 Oz Tumbler","B08ZKZ1FJK","Kitchen","173998",,"21.98","6255","84643","24704","1266","0.73","21.98","38","571","192","438","22.98","13","200","67","121","2719.56","9.56",,"22.98","4","63","15","2024-12-31"
"NewEleven Retirement Gifts for Women 2024 - Happy Retirement Gifts - Coworker Leaving Gifts, Farewell Gifts, Goodbye Gifts for Coworkers, Friends - 12 Oz Tumbler","B08ZRWW1W4","Kitchen","106801",,"21.98","3114","36213","22032","995","0.93","21.98","25","360","218","444","21.98","14","161","98","124","2778.5","12.46",,"21.98","8","45","27","2024-12-31"
"NewEleven Fathers Day Gift For Men, Dad, Husband, Him - Aprons For Men With Pockets - Funny Gifts For Men, Dad, Husband, Boyfriend, Him, Brother, Uncle - Grill Cooking BBQ Kitchen Chef Apron","B08ZYGT8SH","Apparel","74265",,"18.98","1163","19743","13501","821","1.11","18.98","20","251","136","213","18.98","7","59","38","70","1415.5","8.53",,"18.98","3","20","9","2024-12-31"
"NewEleven Aprons For Men With Pockets - Gifts For Men, Dad - Birthday Gifts for Men, Dad, Husband, Boyfriend, Him - Grill Cooking BBQ Kitchen Chef Apron","B091F4PHBQ","Apparel","100073",,"18.98","1785","27694","20646","1040","1.04","18.98","17","269","226","281","15.98","2","87","67","85","1534.7","8.17",,"18.98","1","32","19","2024-12-31"
"Funny Aprons For Men With Pockets - Gifts For Boyfriend, Husband - Husband Gifts From Wife - Birthday Gifts For Husband, Men, Him, Boyfriend, Fiance, Friends - Grill Cooking Bbq Kitchen Chef Apron","B091F544N7","Apparel","117816",,"15.98","2226","35266","24933","1438","1.22","15.98","12","422","321","284","15.98","1","102","54","72","1229.94","5.01",,"15.98","1","26","11","2024-12-31"
"NewEleven Coworker Leaving Gifts - Farewell Gifts, Going Away Gift For Coworker - New Job, Goodbye, Good Luck Gifts For Coworkers, Colleagues, Boss, Men, Women, Friends - 20 Oz Tumbler","B092HNBJT6","Kitchen","77",,"59.28","0","0","0","1","1.3","54.39","0","0","0","0",,"0","0","0","0","0.0","0.0",,,"0","0","0","2024-12-31"
"NewEleven Christmas Gifts For Grandpa - Grandpa Gifts From Granddaughter, Grandson - Birthday Present Ideas For Grandfather, New Grandpa, Promoted To Grandpa, Grandchildren, Grandkid - 20 Oz Tumbler","B094CFGN42","Kitchen","127596",,"21.98","1766","49500","23460","1052","0.82","19.98","16","404","198","432","21.98","12","171","78","132","2934.2","12.55",,"21.98","5","53","23","2024-12-31"
"NewEleven Retirement Gifts For Women 2024 - Happy Retirement Gifts - Coworker Leaving Gifts, Farewell Gifts, Goodbye Gifts For Coworkers, Friends - 20 Oz Tumbler","B095S16WV3","Kitchen","21",,"39.14","0","0","0","0","0.0",,"0","0","0","0",,"0","0","0","0","0.0",,,,"0","0","0","2024-12-31"
"Retirement Gifts For Men Women 2023 - Retired Gifts For Women, Men - Retirement Party Decorations - Fun Retirement Gifts For Women, Men, Retired People, Coworkers, Friends - 20 Oz Tumbler","B095S1818R","Kitchen","12",,"51.44","0","0","0","0","0.0",,"0","0","0","0",,"0","0","0","0","0.0",,,,"0","0","0","2024-12-31"
"NewEleven Christmas Gifts For Men, Women - Gifts For Men, Dad, Husband, Friend - Thank You Gifts, Appreciation Gifts, Graduation Gifts For Men, Nurse, Teacher, Boss, Coworker - 20 Oz Tumbler","B0978WGWY4","Kitchen","97044",,"19.98","1908","42204","19678","633","0.65","19.98","13","311","120","217","19.98","2","120","39","63","1925.0","9.95",,"19.98","0","33","20","2024-12-31"
"NewEleven Gifts for Brother - Brother Gifts from Sister, Brother - Big Brother Gifts, Little Brother Gifts - Birthday Gifts for Brothers from Sisters, Brother, Siblings - 20 Oz Tumbler","B09792XF8F","Kitchen","121905",,"23.98","2647","48566","27258","734","0.6","23.98","16","298","161","333","23.98","7","144","78","71","1752.48","9.67",,"23.98","3","43","12","2024-12-31"
