Reporting range=["Quarterly"],Select year=["2023"],Select quarter=["3"]
"ASIN title",ASIN,Category,"Impressions: Impressions","Impressions: Rating (Median)","Impressions: Price (Median)","Impressions: Same-Day Shipping Speed","Impressions: 1D-Shipping Speed","Impressions: 2D-Shipping Speed","Clicks: Clicks","Clicks: Click Rate (CTR)","Clicks: Price (Median)","Clicks: Same-Day Shipping Speed","Clicks: 1D-Shipping Speed","Clicks: 2D-Shipping Speed","Basket Adds: Basket Adds","Basket Adds: Price (Median)","Basket Adds: Same-Day Shipping Speed","Basket Adds: 1D-Shipping Speed","Basket Adds: 2D-Shipping Speed","Purchases: Purchases","Purchases: Search Traffic Sales","Purchases: Conversion Rate %","Purchases: Rating (Median)","Purchases: Price (Median)","Purchases: Same-Day Shipping Speed","Purchases: 1D-Shipping Speed","Purchases: 2D-Shipping Speed","Reporting Date"
"Gifts For Mum From Daughter, Son, Kids - Mothers Day Gifts For Mum, Her, Women, Wife - Best Birthday Presents For Mum, Mother, New Mum, Pregnant Mum - 12 Oz Tumbler","B07Y7ZQ265","Home","277307",,"14.98","96438","149676","10293","2007","0.72","14.98","714","1080","90","536","14.98","192","280","30","146","2180.48","7.27",,"14.98","59","73","9","2023-09-30"
"30th Birthday Gifts for Women - 1991 30th Birthday Decorations For Her - Mothers Day Gifts - Talk Thirty To Me Dirty 30 Gifts for Her, Best Friend, Wife, Daughter, Girlfriend - 12 oz Wine Tumbler","B085DT7SXL","Home","182",,"36.0","0","0","0","2","1.1","35.0","0","0","0","0",,"0","0","0","0","0.0","0.0",,,"0","0","0","2023-09-30"
"NEWELEVEN Gifts for Dad from Daughter, Son, Kids - Birthday Gift for Dad, Husband, Men - Best Present Idea for Father, Husband, Bonus Dad from Daughter, Son, Wife - 20 Oz Tumbler","B088GX79HT","Kitchen","100193",,"12.99","21447","68588","5781","939","0.94","12.99","196","656","54","382","12.99","71","279","19","129","1683.71","13.74",,"12.99","23","94","8","2023-09-30"
"40th Birthday Gifts For Women - 1982 40th Birthday Decorations For Women - Gifts For Women Turning 40 - 40 Year Old Birthday Gifts For Mom, Wife, Sisters - Wine Tumbler","B089QFK8NV","Home","238",,"34.0","0","0","0","0","0.0",,"0","0","0","0",,"0","0","0","0","0.0",,,,"0","0","0","2023-09-30"
"NewEleven 21st Birthday Gifts For Women - 2002 21st Birthday Decorations For Women - Gifts For Women Turning 21 - 21 Year Old Birthday Gifts For Her, Daughter, Sisters, Friends - 12 oz Wine Tumbler","B08R8NVFHH","Kitchen","47",,"33.0","0","0","0","0","0.0",,"0","0","0","0",,"0","0","0","0","0.0",,,,"0","0","0","2023-09-30"
"Auntie Gifts - Auntie Birthday Gifts - Mothers Day Gifts For Auntie From Niece, Nephew - Best Auntie Gifts For Auntie, Special Auntie, Auntie Mug, Aunty Gift - 12 Oz Wine Tumbler","B08R8P896F","Kitchen","82143",,"14.98","20110","55113","3578","732","0.89","14.98","180","486","33","235","14.98","55","155","12","64","937.83","8.74",,"14.98","17","43","1","2023-09-30"
"60th Birthday Gifts For Women - 1963 60th Birthday Decorations For Women - Birthday Gifts For 60 Year Old Woman - 60 Years Old Gifts Ideas For Women Turning 60 - 12 oz Wine Tumbler","B08R8PXYL6","Kitchen","17439",,"12.98","7246","8969","707","126","0.72","12.98","61","57","4","26","12.98","15","10","1","6","72.03","4.76",,"11.03","4","1","1","2023-09-30"
"40th Birthday Gifts For Men, Women - 1983 40th Birthday Decorations For Men, Women - Gifts for Women Turning 40 - 40 Year Old Gifts For Men, Him, Her, Husband, Wife - 20 Oz Tumbler","B08R8R2LQF","Kitchen","109331",,"19.98","24050","73775","7791","891","0.81","19.98","197","599","63","304","19.98","65","205","20","92","1838.16","10.33",,"19.98","15","69","4","2023-09-30"
"NewEleven Bridal Shower Gifts - Wedding Gifts For Bride - Bride To Be, Bachelorette Gifts, Engagement Gifts For Women - Bride Gifts For Bride To Be, Fiancee, Wifey, Her - 12 Oz Tumbler","B08R8R7T36","Kitchen","193568",,"18.98","72146","102582","9893","1497","0.77","19.98","567","765","91","478","19.46","188","232","30","125","2390.01","8.35",,"19.98","42","64","9","2023-09-30"
"Retirement Gifts For Women 2021 - Retired Gifts For Women - Retirement Party Decorations - Fun Retirement Gifts For Women, Retired People, Colleagues, Friends - 12 Oz Wine Tumbler","B08R8SSBWV","Kitchen","48",,"38.0","0","0","0","1","2.08","37.0","0","0","0","0",,"0","0","0","0","0.0","0.0",,,"0","0","0","2023-09-30"
