Reporting range=["Quarterly"],Select year=["2023"],Select quarter=["4"]
"ASIN title",ASIN,Category,"Impressions: Impressions","Impressions: Rating (Median)","Impressions: Price (Median)","Impressions: Same-Day Shipping Speed","Impressions: 1D-Shipping Speed","Impressions: 2D-Shipping Speed","Clicks: Clicks","Clicks: Click Rate (CTR)","Clicks: Price (Median)","Clicks: Same-Day Shipping Speed","Clicks: 1D-Shipping Speed","Clicks: 2D-Shipping Speed","Basket Adds: Basket Adds","Basket Adds: Price (Median)","Basket Adds: Same-Day Shipping Speed","Basket Adds: 1D-Shipping Speed","Basket Adds: 2D-Shipping Speed","Purchases: Purchases","Purchases: Search Traffic Sales","Purchases: Conversion Rate %","Purchases: Rating (Median)","Purchases: Price (Median)","Purchases: Same-Day Shipping Speed","Purchases: 1D-Shipping Speed","Purchases: 2D-Shipping Speed","Reporting Date"
"Gifts For Mum From Daughter, Son, Kids - Mothers Day Gifts For Mum, Her, Women, Wife - Best Birthday Presents For Mum, Mother, New Mum, Pregnant Mum - 12 Oz Tumbler","B07Y7ZQ265","Home","1350551",,"14.98","74500","876729","251628","8426","0.62","14.98","471","5490","1558","1689","14.98","106","1119","277","421","6592.52","5.0",,"14.98","18","294","69","2023-12-31"
"30th Birthday Gifts for Women - 1991 30th Birthday Decorations For Her - Mothers Day Gifts - Talk Thirty To Me Dirty 30 Gifts for Her, Best Friend, Wife, Daughter, Girlfriend - 12 oz Wine Tumbler","B085DT7SXL","Home","41",,"38.82","0","0","0","1","2.44","38.82","0","0","0","0",,"0","0","0","0","0.0","0.0",,,"0","0","0","2023-12-31"
"NEWELEVEN Christmas Gifts for Dad from Daughter, Son, Kids - Birthday Gift for Dad, Husband, Men - Best Present Idea for Father, Husband, Bonus Dad from Daughter, Son, Wife - 20 Oz Tumbler","B088GX79HT","Kitchen","184530",,"12.99","8025","93199","45749","1316","0.71","12.99","77","725","274","448","12.99","28","267","97","91","1336.41","6.91",,"12.99","2","57","22","2023-12-31"
"40th Birthday Gifts For Women - 1982 40th Birthday Decorations For Women - Gifts For Women Turning 40 - 40 Year Old Birthday Gifts For Mom, Wife, Sisters - Wine Tumbler","B089QFK8NV","Home","294",,"50.57","0","0","0","0","0.0",,"0","0","0","0",,"0","0","0","0","0.0",,,,"0","0","0","2023-12-31"
"NewEleven 21st Birthday Gifts For Women - 2002 21st Birthday Decorations For Women - Gifts For Women Turning 21 - 21 Year Old Birthday Gifts For Her, Daughter, Sisters, Friends - 12 oz Wine Tumbler","B08R8NVFHH","Kitchen","15",,"36.39","0","0","0","0","0.0",,"0","0","0","0",,"0","0","0","0","0.0",,,,"0","0","0","2023-12-31"
"Christmas Gifts For Auntie - Auntie Birthday Gifts - Aunt Gifts For Auntie From Niece, Nephew - Best Auntie Gifts For Auntie, Special Auntie, Auntie Mug, Aunty Gift - 12 Oz Wine Tumbler","B08R8P896F","Kitchen","340634",,"14.98","9131","200897","79510","2668","0.78","14.98","80","1615","578","675","14.98","16","423","138","166","2590.56","6.22",,"14.98","1","105","37","2023-12-31"
"60th Birthday Gifts For Women - 1963 60th Birthday Decorations For Women - Birthday Gifts For 60 Year Old Woman - 60 Years Old Gifts Ideas For Women Turning 60 - 12 oz Wine Tumbler","B08R8PXYL6","Kitchen","63454",,"12.98","2924","39837","9523","514","0.81","12.98","23","353","68","97","12.98","5","71","11","21","237.38","4.09",,"12.98","1","17","1","2023-12-31"
"40th Birthday Gifts For Men, Women - 1983 40th Birthday Decorations For Men, Women - Gifts for Women Turning 40 - 40 Year Old Gifts For Men, Him, Her, Husband, Wife - 20 Oz Tumbler","B08R8R2LQF","Kitchen","118095",,"19.98","6698","68138","29717","855","0.72","19.98","35","552","170","267","19.98","12","181","44","80","1598.4","9.36",,"19.98","3","59","10","2023-12-31"
"NewEleven Bridal Shower Gifts - Wedding Gifts For Bride - Bride To Be, Bachelorette Gifts, Engagement Gifts For Women - Bride Gifts For Bride To Be, Fiancee, Wifey, Her - 12 Oz Tumbler","B08R8R7T36","Kitchen","237061",,"18.98","25879","159519","26526","1491","0.63","18.98","171","944","199","446","18.98","58","283","56","83","1594.8","5.57",,"18.98","11","48","17","2023-12-31"
"Retirement Gifts For Women 2021 - Retired Gifts For Women - Retirement Party Decorations - Fun Retirement Gifts For Women, Retired People, Colleagues, Friends - 12 Oz Wine Tumbler","B08R8SSBWV","Kitchen","10",,"38.0","0","0","0","0","0.0",,"0","0","0","0",,"0","0","0","0","0.0",,,,"0","0","0","2023-12-31"
