Reporting range=["Quarterly"],Select year=["2025"],Select quarter=["1"]
"ASIN title",ASIN,Category,"Impressions: Impressions","Impressions: Rating (Median)","Impressions: Price (Median)","Impressions: Same-Day Shipping Speed","Impressions: 1D-Shipping Speed","Impressions: 2D-Shipping Speed","Clicks: Clicks","Clicks: Click Rate (CTR)","Clicks: Price (Median)","Clicks: Same-Day Shipping Speed","Clicks: 1D-Shipping Speed","Clicks: 2D-Shipping Speed","Basket Adds: Basket Adds","Basket Adds: Price (Median)","Basket Adds: Same-Day Shipping Speed","Basket Adds: 1D-Shipping Speed","Basket Adds: 2D-Shipping Speed","Purchases: Purchases","Purchases: Search Traffic Sales","Purchases: Conversion Rate %","Purchases: Rating (Median)","Purchases: Price (Median)","Purchases: Same-Day Shipping Speed","Purchases: 1D-Shipping Speed","Purchases: 2D-Shipping Speed","Reporting Date"
"Neweleven Mothers Day Gifts for Mum - Mum Birthday Present from Daughter, Son, Kids, Husband - Best Birthday Presents for Wife, Mother, New Mummy, Wife - 12 Oz Tumbler","B07Y7ZQ265","Kitchen","363735",,"14.98","75972","256942","19201","2523","0.69","14.98","534","1774","128","797","14.98","172","551","47","264","3689.7","10.46",,"14.98","57","182","17","2025-03-31"
"NEWELEVEN Dad Gift from Daughter, Son, Kids, Wife - Birthday Gift for New Dad, Husband, Men - Best Present Idea for Father, Husband, Bonus Dad from Daughter, Son, Wife - 20 Oz Tumbler","B088GX79HT","Kitchen","23654",,"19.98","1845","15266","4377","137","0.58","15.98","10","97","21","55","15.98","5","39","7","18","291.64","13.14",,"15.98","2","14","2","2025-03-31"
"40th Birthday Gifts For Women - 1982 40th Birthday Decorations For Women - Gifts For Women Turning 40 - 40 Year Old Birthday Gifts For Mom, Wife, Sisters - Wine Tumbler","B089QFK8NV","Home","14",,"26.7","0","0","0","0","0.0",,"0","0","0","0",,"0","0","0","0","0.0",,,,"0","0","0","2025-03-31"
"Aprons For Men With Pockets - Christmas Gifts - Gifts For Men, Dad - Birthday Gifts for Men, Dad, Husband, Boyfriend, Him - Grill Cooking BBQ Kitchen Chef Apron","B08CDFWN1Q","Apparel","98",,"26.4","0","0","0","0","0.0",,"0","0","0","0",,"0","0","0","0","0.0",,,,"0","0","0","2025-03-31"
"NewEleven 60th Birthday Wine Tumbler - 12 oz Pink Insulated Stainless Steel Tumbler with Lid, Straw, Straw Cleaning Brush - Perfect for Women, Mom, Wife, Sisters, Friends - 1 Count (Pack of 1)","B08R8PXYL6","Kitchen","162",,"36.49","0","0","0","1","0.62","36.16","0","0","0","0",,"0","0","0","0","0.0","0.0",,,"0","0","0","2025-03-31"
"40th Birthday Gifts For Men, Women - 1983 40th Birthday Decorations For Men, Women - Gifts for Women Turning 40 - 40 Year Old Gifts For Men, Him, Her, Husband, Wife - 20 Oz Tumbler","B08R8R2LQF","Kitchen","148591",,"17.98","8874","108329","17441","1106","0.74","17.98","72","770","134","447","17.98","33","315","63","126","2299.48","11.39",,"17.98","11","97","12","2025-03-31"
"NEWELEVEN Bridal Shower Gifts - Wedding Gifts for Bride - Bride to Be, Bachelorette Gifts, Engagement Gifts for Women - Bride Gifts for Bride to Be, Fiancee, Wifey, Her - 12 Oz Tumbler","B08R8R7T36","Kitchen","117973",,"17.98","9924","84087","14344","639","0.54","17.98","60","442","80","257","17.98","26","174","32","56","978.88","8.76",,"17.98","8","42","3","2025-03-31"
"NewEleven 50th Birthday Gifts for Men, Women - 1974 50th Birthday Decorations for Men, Women - Gifts for Women Turning 50-50 Year Old Gifts for Men, Dad, Mom, Husband, Wife - 20 Oz Tumbler","B08R8SW1NM","Kitchen","59",,"22.98","0","0","0","0","0.0",,"0","0","0","0",,"0","0","0","0","0.0",,,,"0","0","0","2025-03-31"
"Gifts For Mum From Daughter, Son - Birthday Gifts For Mum - Mothers Day Gifts For Mum, Wife, Women - Funny Birthday Presents From Daughter, Son, Husband - 20 0z Tumbler","B08ZKX6YK9","Kitchen","148",,"55.65","0","0","0","0","0.0",,"0","0","0","0",,"0","0","0","0","0.0",,,,"0","0","0","2025-03-31"
"NEWELEVEN Birthday Gifts from Daughter, Son, Kids, Wife - Birthday Gifts for New Dad, Husband, Men - Best Present Idea for Father, Husband, Bonus Dad from Daughter, Son, Wife - 20 Oz Tumbler","B08ZKZ1FJK","Kitchen","62128",,"17.98","4839","42718","9275","306","0.49","17.98","16","207","47","83","17.98","6","57","11","24","423.52","7.84",,"17.98","1","21","2","2025-03-31"
