Reporting Range=["Quarterly"],Select year=["2023"],Select quarter=["3"],Brand=["NEWELEVEN"]
"ASIN Title",ASIN,Category,"Impressions: Impressions","Impressions: Rating (Median)","Impressions: Price (Median)","Impressions: Same Day Shipping Speed","Impressions: 1D Shipping Speed","Impressions: 2D Shipping Speed","Clicks: Clicks","Clicks: Click Rate (CTR)","Clicks: Price (Median)","Clicks: Same Day Shipping Speed","Clicks: 1D Shipping Speed","Clicks: 2D Shipping Speed","Cart Adds: Cart Adds","Cart Adds: Price (Median)","Cart Adds: Same Day Shipping Speed","Cart Adds: 1D Shipping Speed","Cart Adds: 2D Shipping Speed","Purchases: Purchases","Purchases: Search Traffic Sales","Purchases: Conversion Rate %","Purchases: Rating (Median)","Purchases: Price (Median)","Purchases: Same Day Shipping Speed","Purchases: 1D Shipping Speed","Purchases: 2D Shipping Speed","Reporting Date"
"NewEleven Sister Gifts from Sister, Brother - Birthday Gifts For Sister - Gifts For Sister, Soul Sister, Big Sister, Little Sister, Sister In Law, Bestie, BFF, Women - 12 Oz Tumbler","B07W5KH9PJ","Kitchen","44149",,"14.98","1073","15881","15554","541","1.23","14.98","20","179","179","93","14.98","3","36","32","30","454.38","5.55",,"14.98","2","11","9","2023-09-30"
"Mothers Day Gifts For Mom From Daughter, Son, Kids - Funny Best Birthday Gifts Ideas For Mom, Mother, Wife, New Mom, Bonus Mom, Mom To Be, Mother In Law - 12 Oz Tumbler For Women","B07Y7ZQ265","Kitchen","624719",,"17.98","47249","255941","183479","3932","0.63","17.98","286","1430","1204","1161","17.98","87","434","351","314","5605.59","7.99",,"17.98","29","131","86","2023-09-30"
"30th Birthday Gifts For Her - 1993 30th Birthday Decorations For Women Her - 30 Year Old Gifts, 30 Birthday Idea Presents For Women, Her, Wife, Daughter, Girlfriend, Friends, Sisters - 12 Oz Tumbler","B085DT7SXL","Kitchen","73288",,"16.98","1642","31313","29666","545","0.74","16.98","9","220","212","261","16.98","4","116","104","104","1979.74","19.08",,"16.98","1","50","38","2023-09-30"
"NewEleven Gifts For Dad From Daughter, Son, Kids - Birthday Gift For Dad, Husband, Men - Best Present Idea For Father, Husband, Bonus Dad From Daughter, Son, Wife - 20 Oz Tumbler","B088GX79HT","Kitchen","298877",,"16.98","29951","88851","73885","1661","0.56","16.98","140","453","458","478","16.98","40","127","106","167","3076.66","10.05",,"16.98","24","46","28","2023-09-30"
"40th Birthday Gifts For Women - Vintage 1983 40th Birthday Decorations For Women, Her - Best 40 Year Old Gifts Ideas For Wife, Mom, Friends, Sister - Turning 40 Presents For Female - 12Oz Wine Tumbler","B089QFK8NV","Kitchen","152143",,"16.98","4435","73832","51893","1761","1.16","16.98","51","832","600","802","16.98","22","404","270","342","6226.08","19.42",,"16.98","8","176","118","2023-09-30"
"50th Birthday Gifts For Women - 1973 50th Birthday Decorations For Women - Gifts For Women Turning 50 - 50 Year Old Gifts For Women, Mom, Wife, Friends - 12 Oz Wine Tumbler (Fifty And Fabulous)","B089QFYLFB","Kitchen","138528",,"18.98","4186","67124","50866","1325","0.96","18.98","65","629","414","545","18.98","21","271","195","189","3775.92","14.26",,"18.98","6","100","66","2023-09-30"
"NewEleven Aprons For Men With Pockets - Birthday Gifts For Men, Dad, Husband, Grandpa, Uncle, Brother - Funny Apron For Dad, Husband, Grandpa, Uncle, Boyfriend - Cooking apron, Bbq apron, Grill Apron","B08CDFWN1Q","Home","209428",,"16.98","1067","17758","13227","2700","1.29","16.98","15","237","156","771","16.98","5","74","33","281","4904.26","10.41",,"16.98","3","34","11","2023-09-30"
"NewEleven 21st Birthday Gifts For Women, Her - 2003 21st Birthday Decorations For Her - 21st Birthday Ideas For Women, Her, Daughter, Sister, Best Friends - 12 Oz Tumbler","B08R8NVFHH","Kitchen","61453",,"16.98","952","23493","25313","453","0.74","16.98","9","169","162","188","16.98","3","87","69","78","1526.24","17.22",,"16.98","2","46","24","2023-09-30"
"NewEleven Gifts For Grandma - Birthday Gifts For Grandma, Nana, Gigi, Mimi, Grammy - Best Gifts For First Time Grandma, Grandchildren, Granddaughter, Grandson, Grandkids – 12 Oz Tumbler","B08R8P65YM","Kitchen","47246",,"16.98","1273","17122","16688","292","0.62","16.98","6","104","96","74","16.98","0","28","27","15","255.68","5.14",,"14.98","0","6","4","2023-09-30"
"NewEleven Aunt Gifts - Gifts For Aunt From Niece, Nephew - Birthday Gifts For Aunt, New Aunt, Auntie - Best Gifts For Aunt, Auntie, Aunt Announcement, Promoted To Aunt - 12 Oz Tumbler","B08R8P896F","Kitchen","90386",,"14.98","2160","28133","19595","656","0.73","14.98","21","220","135","247","14.98","5","82","49","76","1098.42","11.59",,"14.98","1","34","12","2023-09-30"
