Reporting Range=["Monthly"],Select year=["2025"],Select month=["April"],Brand=["NEWELEVEN"]
"ASIN Title",ASIN,Category,"Impressions: Impressions","Impressions: Rating (Median)","Impressions: Price (Median)","Impressions: Same Day Shipping Speed","Impressions: 1D Shipping Speed","Impressions: 2D Shipping Speed","Clicks: Clicks","Clicks: Click Rate (CTR)","Clicks: Price (Median)","Clicks: Same Day Shipping Speed","Clicks: 1D Shipping Speed","Clicks: 2D Shipping Speed","Cart Adds: Cart Adds","Cart Adds: Price (Median)","Cart Adds: Same Day Shipping Speed","Cart Adds: 1D Shipping Speed","Cart Adds: 2D Shipping Speed","Purchases: Purchases","Purchases: Search Traffic Sales","Purchases: Conversion Rate %","Purchases: Rating (Median)","Purchases: Price (Median)","Purchases: Same Day Shipping Speed","Purchases: 1D Shipping Speed","Purchases: 2D Shipping Speed","Reporting Date"
"NewEleven Mothers Day Gifts For Mom - Gifts For Mother, Women, Wife - Funny Best Birthday Gift Ideas For Wife, New Mama, Bonus Mama, Mom To Be, Mother In Law - 12 Oz Tumbler","B07Y7ZQ265","Kitchen","51710",,"14.98","914","21761","19657","299","0.58","14.98","4","113","131","109","14.98","0","48","48","24","359.52","8.03",,"14.98","0","11","9","2025-04-30"
"NewEleven Fathers Day Gift For Dad From Daughter, Son, Kids - Birthday Gift For Dad, Husband, Men - Best Present Idea For Father, Husband, Bonus Father From Daughter, Son, Wife - 20 Oz Tumbler","B088GX79HT","Kitchen","39036",,"19.98","741","19579","12978","260","0.67","19.98","9","125","88","84","19.98","3","44","28","28","559.44","10.77",,"19.98","1","15","7","2025-04-30"
"NewEleven 40th Birthday Gifts For Women - 40th Birthday Decorations For Women, Her - Best 40 Year Old Gifts Ideas For Wife, Mom, Friends, Sister - Turning 40 Presents For Female - 12 Oz Tumbler","B089QFK8NV","Kitchen","9252",,"14.99","548","5054","2369","133","1.44","14.99","9","73","40","75","14.99","6","43","19","31","464.69","23.31",,"14.99","3","19","7","2025-04-30"
"NewEleven 50th Birthday Gifts For Women, Her - 1975 50th Birthday Decorations - Gift For Women Turning 50-50 Year Old Gifts For Her, Mom, Wife, Friends - 12 Oz Wine Tumbler","B089QFYLFB","Kitchen","66702",,"19.98","4421","44469","12748","631","0.95","19.98","53","453","100","321","19.98","33","225","48","108","2237.76","17.12",,"19.98","18","74","11","2025-04-30"
"NewEleven Valentines Gifts For Men, Dad, Husband, Him - Aprons For Men With Pockets - Funny Gifts For Men, Dad, Husband, Boyfriend, Him, Brother, Uncle - Grill Cooking BBQ Kitchen Chef Apron","B08CDFWN1Q","Home","41319",,"15.98","2148","26661","8791","451","1.09","15.98","22","314","84","172","15.98","8","118","34","58","942.82","12.86",,"15.98","3","43","9","2025-04-30"
"NewEleven Mamasaurus & Daddysaurus Tumbler Gift Set - Funny Tumblers for Mom and Dad","B08GPBBK8V","Kitchen","86",,"29.72","1","42","25","2","2.33","29.72","0","2","0","0",,"0","0","0","0","0.0","0.0",,,"0","0","0","2025-04-30"
"NewEleven 60th Birthday Gifts For Women - 1965 Birthday Decorations For Women - Happy 60th Celebration Gifts - Gift for turning 60 For Mom, Wife, Aunt - 12 Oz Wine Tumbler","B08R8PXYL6","Kitchen","68235",,"19.98","4436","45318","13706","660","0.97","19.98","54","444","131","358","19.98","33","240","69","134","2917.08","20.3",,"19.98","13","86","29","2025-04-30"
"NewEleven 40th Birthday Gifts For Men Women - 1985 40th Birthday Decorations For Men Women - 40 Year Old Birthday Gifts For Dad, Mom, Friends Turning 40-20 Oz Tumbler","B08R8R2LQF","Kitchen","142789",,"22.98","8531","94785","28895","1168","0.82","22.98","56","801","235","655","22.98","36","451","126","242","5584.14","20.72",,"22.98","21","171","41","2025-04-30"
"NewEleven 50th Birthday Gifts For Men Women - 1975 50th Birthday Decorations For Men Women - Gifts For Women Turning 50-50 Year Old Gift For Men, Woman, Mom, Dad, Wife, Husband - 20 Oz Tumbler","B08R8SW1NM","Kitchen","8896",,"14.99","195","3401","3729","90","1.01","14.99","0","28","46","45","14.99","0","11","26","20","299.8","22.22",,"14.99","0","7","11","2025-04-30"
"NEWELEVEN Coworker Leaving Gift - Farewell, Going Away, New Job, Goodbye, Good Luck for Colleagues, Boss, Men, Women, Friends - 20 Oz Tumbler","B08Y8RZRHG","Kitchen","4549",,"17.98","78","1933","1725","48","1.06","17.98","2","21","18","9","17.98","0","6","3","4","89.9","8.33",,"17.98","0","3","1","2025-04-30"
