Reporting Range=["Monthly"],Select year=["2025"],Select month=["May"],Brand=["NEWELEVEN"]
"ASIN Title",ASIN,Category,"Impressions: Impressions","Impressions: Rating (Median)","Impressions: Price (Median)","Impressions: Same Day Shipping Speed","Impressions: 1D Shipping Speed","Impressions: 2D Shipping Speed","Clicks: Clicks","Clicks: Click Rate (CTR)","Clicks: Price (Median)","Clicks: Same Day Shipping Speed","Clicks: 1D Shipping Speed","Clicks: 2D Shipping Speed","Cart Adds: Cart Adds","Cart Adds: Price (Median)","Cart Adds: Same Day Shipping Speed","Cart Adds: 1D Shipping Speed","Cart Adds: 2D Shipping Speed","Purchases: Purchases","Purchases: Search Traffic Sales","Purchases: Conversion Rate %","Purchases: Rating (Median)","Purchases: Price (Median)","Purchases: Same Day Shipping Speed","Purchases: 1D Shipping Speed","Purchases: 2D Shipping Speed","Reporting Date"
"NewEleven Mothers Day Gifts For Mom - Gifts For Mother, Women, Wife - Funny Best Birthday Gift Ideas For Wife, New Mama, Bonus Mama, Mom To Be, Mother In Law - 12 Oz Tumbler","B07Y7ZQ265","Kitchen","80170",,"16.98","586","13302","32425","558","0.7","16.98","4","95","222","183","16.98","2","34","74","65","1168.66","11.65",,"16.98","2","15","25","2025-05-31"
"NEWELEVEN 30th Birthday Gifts for Women - 1994 Birthday Decorations - 30 Year Old Idea Presents for Her, Daughter, Girlfriend, Friends, Sisters - 12 Oz Tumbler","B085DT7SXL","Kitchen","217",,"12.98","0","14","97","0","0.0",,"0","0","0","0",,"0","0","0","0","0.0",,,,"0","0","0","2025-05-31"
"NewEleven Fathers Day Gift For Dad From Daughter, Son, Kids - Birthday Gift For Dad, Husband, Men - Best Present Idea For Father, Husband, Bonus Father From Daughter, Son, Wife - 20 Oz Tumbler","B088GX79HT","Kitchen","71171",,"19.98","2835","41986","17510","626","0.88","19.98","28","347","158","184","19.98","11","100","48","37","733.2","5.91",,"19.98","3","19","11","2025-05-31"
"NewEleven 40th Birthday Gifts For Women - 40th Birthday Decorations For Women, Her - Best 40 Year Old Gifts Ideas For Wife, Mom, Friends, Sister - Turning 40 Presents For Female - 12 Oz Tumbler","B089QFK8NV","Kitchen","10776",,"14.99","719","6645","2338","136","1.26","14.99","7","92","28","81","14.99","4","56","18","32","539.64","23.53",,"14.99","3","18","10","2025-05-31"
"NewEleven 50th Birthday Gifts For Women, Her - 1975 50th Birthday Decorations - Gift For Women Turning 50-50 Year Old Gifts For Her, Mom, Wife, Friends - 12 Oz Wine Tumbler","B089QFYLFB","Kitchen","42113",,"19.98","2172","27054","9411","364","0.86","19.98","18","238","81","190","19.98","7","128","43","64","1278.72","17.58",,"19.98","3","45","11","2025-05-31"
"NewEleven Valentines Gifts For Men, Dad, Husband, Him - Aprons For Men With Pockets - Funny Gifts For Men, Dad, Husband, Boyfriend, Him, Brother, Uncle - Grill Cooking BBQ Kitchen Chef Apron","B08CDFWN1Q","Home","92282",,"9.99","7380","60881","15839","1194","1.29","9.99","91","789","195","522","9.99","34","351","86","161","1969.79","13.48",,"9.99","6","114","25","2025-05-31"
"NewEleven Mamasaurus & Daddysaurus Tumbler Gift Set - Funny Tumblers for Mom and Dad","B08GPBBK8V","Kitchen","169",,"34.28","2","63","58","2","1.18","29.72","0","1","1","0",,"0","0","0","0","0.0","0.0",,,"0","0","0","2025-05-31"
"NewEleven 60th Birthday Gifts For Women - 1965 Birthday Decorations For Women - Happy 60th Celebration Gifts - Gift for turning 60 For Mom, Wife, Aunt - 12 Oz Wine Tumbler","B08R8PXYL6","Kitchen","70673",,"19.98","3466","46165","15634","603","0.85","19.98","38","374","150","340","19.98","21","223","79","127","2837.16","21.06",,"19.98","11","83","30","2025-05-31"
"NewEleven 40th Birthday Gifts For Men Women - 1985 40th Birthday Decorations For Men Women - 40 Year Old Birthday Gifts For Dad, Mom, Friends Turning 40-20 Oz Tumbler","B08R8R2LQF","Kitchen","142048",,"22.98","8031","91913","30453","1391","0.98","22.98","92","933","279","774","22.98","61","531","139","281","6564.28","20.2",,"22.98","25","205","41","2025-05-31"
"NewEleven 50th Birthday Gifts For Men Women - 1975 50th Birthday Decorations For Men Women - Gifts For Women Turning 50-50 Year Old Gift For Men, Woman, Mom, Dad, Wife, Husband - 20 Oz Tumbler","B08R8SW1NM","Kitchen","12646",,"14.99","186","5096","5331","187","1.48","14.99","3","66","88","102","14.99","3","37","43","40","474.17","21.39",,"7.89","1","16","16","2025-05-31"
