Reporting Range=["Monthly"],Select year=["2025"],Select month=["June"],Brand=["NEWELEVEN"]
"ASIN Title",ASIN,Category,"Impressions: Impressions","Impressions: Rating (Median)","Impressions: Price (Median)","Impressions: Same Day Shipping Speed","Impressions: 1D Shipping Speed","Impressions: 2D Shipping Speed","Clicks: Clicks","Clicks: Click Rate (CTR)","Clicks: Price (Median)","Clicks: Same Day Shipping Speed","Clicks: 1D Shipping Speed","Clicks: 2D Shipping Speed","Cart Adds: Cart Adds","Cart Adds: Price (Median)","Cart Adds: Same Day Shipping Speed","Cart Adds: 1D Shipping Speed","Cart Adds: 2D Shipping Speed","Purchases: Purchases","Purchases: Search Traffic Sales","Purchases: Conversion Rate %","Purchases: Rating (Median)","Purchases: Price (Median)","Purchases: Same Day Shipping Speed","Purchases: 1D Shipping Speed","Purchases: 2D Shipping Speed","Reporting Date"
"NewEleven Gifts For Mom - Gifts For Mother, Women, Wife - Funny Best Birthday Gift Ideas For Wife, New Mama, Bonus Mama, Mom To Be, Mother In Law - 12 Oz Tumbler","B07Y7ZQ265","Kitchen","8422",,"15.98","168","4387","2722","63","0.75","15.98","0","30","23","19","15.98","0","10","7","5","79.9","7.94",,"15.98","0","1","2","2025-06-30"
"NewEleven Fathers Day Gift For Dad From Daughter, Son, Kids - Birthday Gift For Dad, Husband, Men - Best Present Idea For Father, Husband, Bonus Father From Daughter, Son, Wife - 20 Oz Tumbler","B088GX79HT","Kitchen","152673",,"21.98","3593","71854","56323","1568","1.03","21.98","41","753","577","437","19.98","11","228","148","174","3713.28","11.1",,"21.98","4","94","61","2025-06-30"
"NewEleven 40th Birthday Gifts For Women - 40th Birthday Decorations For Women, Her - Best 40 Year Old Gifts Ideas For Wife, Mom, Friends, Sister - Turning 40 Presents For Female - 12 Oz Tumbler","B089QFK8NV","Kitchen","8321",,"14.99","437","5066","2160","151","1.81","14.99","6","94","37","71","14.99","4","45","15","29","464.69","19.21",,"14.99","3","16","7","2025-06-30"
"NewEleven 50th Birthday Gifts For Women, Her - 1975 50th Birthday Decorations - Gift For Women Turning 50-50 Year Old Gifts For Her, Mom, Wife, Friends - 12 Oz Wine Tumbler","B089QFYLFB","Kitchen","53601",,"19.98","1558","34070","14244","539","1.01","19.98","12","351","143","241","19.98","9","159","61","67","1558.44","12.43",,"19.98","4","47","13","2025-06-30"
"NewEleven Valentines Gifts For Men, Dad, Husband, Him - Aprons For Men With Pockets - Funny Gifts For Men, Dad, Husband, Boyfriend, Him, Brother, Uncle - Grill Cooking BBQ Kitchen Chef Apron","B08CDFWN1Q","Home","165994",,"15.98","7902","106859","39045","1971","1.19","15.98","98","1320","414","944","15.98","50","649","190","367","5586.09","18.62",,"15.98","16","267","74","2025-06-30"
"NewEleven Mamasaurus & Daddysaurus Tumbler Gift Set - Funny Tumblers for Mom and Dad","B08GPBBK8V","Kitchen","77",,"34.28","0","9","28","0","0.0",,"0","0","0","0",,"0","0","0","0","0.0",,,,"0","0","0","2025-06-30"
"NewEleven 60th Birthday Gifts For Women - 1965 Birthday Decorations For Women - Happy 60th Celebration Gifts - Gift for turning 60 For Mom, Wife, Aunt - 12 Oz Wine Tumbler","B08R8PXYL6","Kitchen","75684",,"19.98","2625","47554","18857","701","0.93","19.98","36","431","177","326","19.98","18","212","74","124","2717.28","17.69",,"19.98","1","90","24","2025-06-30"
"NewEleven 40th Birthday Gifts For Men Women - 1985 40th Birthday Decorations For Men Women - 40 Year Old Birthday Gifts For Dad, Mom, Friends Turning 40-20 Oz Tumbler","B08R8R2LQF","Kitchen","97367",,"22.98","3187","59014","27193","900","0.92","22.98","29","548","264","491","22.98","16","304","139","205","4733.88","22.78",,"22.98","5","129","60","2025-06-30"
"NewEleven 50th Birthday Gifts For Men Women - 1975 50th Birthday Decorations For Men Women - Gifts For Women Turning 50-50 Year Old Gift For Men, Woman, Mom, Dad, Wife, Husband - 20 Oz Tumbler","B08R8SW1NM","Kitchen","10346",,"14.99","144","3707","4712","112","1.08","14.99","1","48","39","64","14.99","0","30","23","20","314.79","17.86",,"14.99","0","9","6","2025-06-30"
"NEWELEVEN Coworker Leaving Gift - Farewell, Going Away, New Job, Goodbye, Good Luck for Colleagues, Boss, Men, Women, Friends - 20 Oz Tumbler","B08Y8RZRHG","Kitchen","3435",,"19.98","94","1938","1107","44","1.28","19.98","1","25","12","13","19.98","1","7","3","9","199.8","20.45",,"19.98","1","5","2","2025-06-30"
"NewEleven Birthday Gifts For Mom - Gifts For Mom From Daughter, Son, Kids - Unique Birthday Gifts For Mom, Mother, Wife, New Mom, Bonus Mom, Pregnant Mom - Funny Gifts Ideas For Mom - 20 Oz Tumbler","B08ZKX6YK9","Kitchen","461",,"15.99","0","0","0","5","1.08","15.99","0","0","0","1","15.99","0","0","0","0","0.0","0.0",,,"0","0","0","2025-06-30"
"NewEleven 20 Oz Tumbler - Christmas Gifts for Dad from Kids","B08ZKZ1FJK","Kitchen","92112",,"17.98","4072","49731","30211","958","1.04","17.98","40","533","298","348","19.98","18","193","106","116","2072.86","12.11",,"19.98","8","63","40","2025-06-30"
"NewEleven Retirement Gifts For Woman 2025 - Funny Retirement Gifts For Coworker Leaving - Farewell, Leaving, Goodbye Gift For Coworkers, Friends - 12 Oz Tumbler","B08ZRWW1W4","Kitchen","322059",,"22.98","18700","207921","75013","3193","0.99","22.98","188","2131","722","1284","22.98","87","889","267","436","10203.12","13.65",,"22.98","31","318","81","2025-06-30"
"NEWELEVEN Valentines Gifts For Men - Aprons For Men With Pockets - Funny Gifts For Him - BBQ Kitchen Chef Apron","B08ZYGT8SH","Home","190140",,"15.98","8257","110065","53100","3244","1.71","15.98","166","1946","851","812","11.98","44","494","196","298","4329.74","9.19",,"15.98","17","189","69","2025-06-30"
"NewEleven Fathers Day Gift For Men, Dad, Husband, Him - Aprons For Men With Pockets - Funny Gifts For Men, Dad, Husband, Him","B091F544N7","Apparel","330",,"15.98","0","37","107","1","0.3","15.98","0","0","0","0",,"0","0","0","0","0.0","0.0",,,"0","0","0","2025-06-30"
"NewEleven Coworker Leaving Gifts - Farewell Gifts, Going Away Gift For Coworker - New Job, Goodbye, Good Luck Gift For Coworkers, Colleagues, Boss, Men, Women, Friends - 20 Oz Tumbler","B092HNBJT6","Kitchen","119502",,"19.98","2771","69440","37456","1764","1.48","19.98","38","1024","537","435","19.98","12","272","116","136","2757.24","7.71",,"19.98","4","91","30","2025-06-30"
"NewEleven Fathers Day Gift For Grandpa From Granddaughter, Grandson - Birthday Present Ideas For Grandfather, New Grampa, Promoted To Grandfather, Grandchildren, Grandkid - 20 Oz Tumbler","B094CFGN42","Kitchen","88436",,"19.98","2970","52982","26512","848","0.96","19.98","29","484","270","335","19.98","14","200","100","142","2879.1","16.75",,"19.98","6","82","47","2025-06-30"
"NewEleven Retirement Gifts For Woman 2025 - Retired Gift For Coworker Leaving - Farewell, Goodbye Presents For Women, Coworkers, Friends - 20 Oz Tumbler","B095S16WV3","Kitchen","3085",,"12.98","6","334","1486","46","1.49","12.98","1","6","24","14","12.98","0","2","6","5","64.9","10.87",,"12.98","0","0","3","2025-06-30"
