Reporting Range=["Quarterly"],Select year=["2025"],Select quarter=["1"],Brand=["NEWELEVEN"]
"ASIN Title",ASIN,Category,"Impressions: Impressions","Impressions: Rating (Median)","Impressions: Price (Median)","Impressions: Same Day Shipping Speed","Impressions: 1D Shipping Speed","Impressions: 2D Shipping Speed","Clicks: Clicks","Clicks: Click Rate (CTR)","Clicks: Price (Median)","Clicks: Same Day Shipping Speed","Clicks: 1D Shipping Speed","Clicks: 2D Shipping Speed","Cart Adds: Cart Adds","Cart Adds: Price (Median)","Cart Adds: Same Day Shipping Speed","Cart Adds: 1D Shipping Speed","Cart Adds: 2D Shipping Speed","Purchases: Purchases","Purchases: Search Traffic Sales","Purchases: Conversion Rate %","Purchases: Rating (Median)","Purchases: Price (Median)","Purchases: Same Day Shipping Speed","Purchases: 1D Shipping Speed","Purchases: 2D Shipping Speed","Reporting Date"
"NewEleven Mothers Day Gifts For Mom - Gifts For Mother, Women, Wife - Funny Best Birthday Gift Ideas For Wife, New Mama, Bonus Mama, Mom To Be, Mother In Law - 12 Oz Tumbler","B07Y7ZQ265","Kitchen","61415",,"14.98","994","19520","22351","387","0.63","14.98","7","119","143","143","14.98","2","44","53","33","492.09","8.53",,"14.98","0","10","12","2025-03-31"
"NEWELEVEN 30th Birthday Gifts For Her Women - 1994 30th Birthday Decorations For Women Her - 30 Year Old Birthday Idea Presents For Women, Her, Daughter, Girlfriend, Friends, Sisters - 12 Oz Tumbler","B085DT7SXL","Kitchen","5345",,"12.98","20","807","2299","49","0.92","12.98","1","10","16","25","12.98","0","6","8","10","129.8","20.41",,"12.98","0","2","3","2025-03-31"
"NewEleven Fathers Day Gift For Dad From Daughter, Son, Kids - Birthday Gift For Dad, Husband, Men - Best Present Idea For Father, Husband, Bonus Father From Daughter, Son, Wife - 20 Oz Tumbler","B088GX79HT","Kitchen","93507",,"19.98","2411","44951","29456","717","0.77","19.98","17","339","234","295","19.98","11","144","87","82","1628.34","11.44",,"19.98","3","42","22","2025-03-31"
"NewEleven 40th Birthday Gifts For Women - 40th Birthday Decorations For Women, Her - Best 40 Year Old Gifts Ideas For Wife, Mom, Friends, Sister - Turning 40 Presents For Female - 12 Oz Tumbler","B089QFK8NV","Kitchen","27996",,"14.99","517","9101","11268","461","1.65","14.99","8","157","170","207","14.99","3","72","79","81","1140.17","17.57",,"14.99","2","30","30","2025-03-31"
"NewEleven 50th Birthday Gifts For Women, Her - 1975 50th Birthday Decorations - Gift For Women Turning 50-50 Year Old Gifts For Her, Mom, Wife, Friends - 12 Oz Wine Tumbler","B089QFYLFB","Kitchen","278511",,"19.98","16046","159445","65958","2493","0.9","19.98","150","1496","579","1291","19.98","83","808","272","396","8163.72","15.88",,"19.98","19","263","78","2025-03-31"
"NewEleven Valentines Gifts For Men, Dad, Husband, Him - Aprons For Men With Pockets - Funny Gifts For Men, Dad, Husband, Boyfriend, Him, Brother, Uncle - Grill Cooking BBQ Kitchen Chef Apron","B08CDFWN1Q","Home","71784",,"14.98","4552","44919","13712","779","1.09","14.98","51","492","150","317","14.98","23","203","57","93","1440.1","11.94",,"14.98","7","62","16","2025-03-31"
"NewEleven 60th Birthday Gifts For Women - 1965 Birthday Decorations For Women - Happy 60th Celebration Gifts - Gift for turning 60 For Mom, Wife, Aunt - 12 Oz Wine Tumbler","B08R8PXYL6","Kitchen","257737",,"19.98","12228","150848","61009","2302","0.89","19.98","135","1362","527","1220","19.98","81","729","270","439","9023.9","19.07",,"19.98","32","284","81","2025-03-31"
"NewEleven 40th Birthday Gifts For Men Women - 1985 40th Birthday Decorations For Men Women - 40 Year Old Birthday Gifts For Dad, Mom, Friends Turning 40-20 Oz Tumbler","B08R8R2LQF","Kitchen","392705",,"22.98","16665","217774","107780","3301","0.84","22.98","155","1878","903","1785","22.98","88","1031","496","650","15187.88","19.69",,"23.98","32","422","152","2025-03-31"
"NEWELEVEN Retirement Gifts For Women 2024 - Happy Retirement Party Decorations - Coworker Leaving Gifts, Farewell Gifts, Goodbye Gifts For Coworkers, Friends - 12 Oz Tumbler","B08R8SSBWV","Kitchen","89",,"23.98","0","0","0","1","1.12","23.98","0","0","0","0",,"0","0","0","0","0.0","0.0",,,"0","0","0","2025-03-31"
"NewEleven 50th Birthday Gifts For Men Women - 1975 50th Birthday Decorations For Men Women - Gifts For Women Turning 50-50 Year Old Gift For Men, Woman, Mom, Dad, Wife, Husband - 20 Oz Tumbler","B08R8SW1NM","Kitchen","43718",,"12.99","756","17270","16424","577","1.32","12.99","10","210","239","305","12.99","4","106","133","106","1612.68","18.37",,"12.99","3","36","50","2025-03-31"
"NEWELEVEN Coworker Leaving Gift - Farewell, Going Away, New Job, Goodbye, Good Luck for Colleagues, Boss, Men, Women, Friends - 20 Oz Tumbler","B08Y8RZRHG","Kitchen","10127",,"17.98","89","3856","4515","146","1.44","17.98","3","55","57","31","17.98","1","12","9","7","125.16","4.79",,"17.98","0","2","2","2025-03-31"
"NewEleven Birthday Gifts For Mom - Gifts For Mom From Daughter, Son, Kids - Unique Birthday Gifts For Mom, Mother, Wife, New Mom, Bonus Mom, Pregnant Mom - Funny Gifts Ideas For Mom - 20 Oz Tumbler","B08ZKX6YK9","Kitchen","2537",,"12.98","6","355","939","9","0.35","12.98","0","1","5","2","12.98","0","0","2","0","0.0","0.0",,,"0","0","0","2025-03-31"
"NewEleven Christmas Gift For Dad - Birthday Gifts For Dad From Daughter, Son, Kids - Husband Gifts - Birthday Present Ideas For Father, Husband, New Dad, Bonus Dad From Daughter, Son - 20 Oz Tumbler","B08ZKZ1FJK","Kitchen","18785",,"17.98","783","8916","4748","101","0.54","17.98","3","45","26","30","17.98","2","14","7","6","101.48","5.94",,"17.98","0","2","3","2025-03-31"
"NewEleven Retirement Gifts For Woman 2025 - Funny Retirement Gifts For Coworker Leaving - Farewell, Leaving, Goodbye Gift For Coworkers, Friends - 12 Oz Tumbler","B08ZRWW1W4","Kitchen","570891",,"22.98","25716","314142","153629","5807","1.02","22.98","289","3177","1552","2486","22.98","133","1425","624","848","19036.99","14.6",,"22.98","48","527","179","2025-03-31"
"NewEleven Fathers Day Gift For Men, Dad, Husband, Him - Aprons For Men With Pockets - Funny Gifts For Men, Dad, Husband, Boyfriend, Him, Brother, Uncle - Grill Cooking BBQ Kitchen Chef Apron","B08ZYGT8SH","Home","282301",,"15.98","13391","152155","72229","4428","1.57","15.98","200","2408","1180","935","15.98","42","519","254","277","4531.06","6.26",,"15.98","7","167","69","2025-03-31"
"NewEleven Fathers Day Gift For Men, Dad, Husband, Him - Aprons For Men With Pockets - Funny Gifts For Men, Dad, Husband, Him","B091F544N7","Apparel","58",,"15.98","2","10","23","0","0.0",,"0","0","0","0",,"0","0","0","0","0.0",,,,"0","0","0","2025-03-31"
"NewEleven Coworker Leaving Gifts - Farewell Gifts, Going Away Gift For Coworker - New Job, Goodbye, Good Luck Gift For Coworkers, Colleagues, Boss, Men, Women, Friends - 20 Oz Tumbler","B092HNBJT6","Kitchen","338510",,"19.98","19443","211555","73405","4811","1.42","19.98","304","3093","981","1204","19.98","108","803","205","409","8477.62","8.5",,"19.98","36","300","59","2025-03-31"
"NewEleven Fathers Day Gift For Grandpa From Granddaughter, Grandson - Birthday Present Ideas For Grandfather, New Grampa, Promoted To Grandfather, Grandchildren, Grandkid - 20 Oz Tumbler","B094CFGN42","Kitchen","33722",,"19.98","686","13099","12310","301","0.89","19.98","3","124","104","113","19.98","1","46","42","35","696.3","11.63",,"19.98","1","15","12","2025-03-31"
"NewEleven Retirement Gifts For Woman 2025 - Retired Gift For Coworker Leaving - Farewell, Goodbye Presents For Women, Coworkers, Friends - 20 Oz Tumbler","B095S16WV3","Kitchen","3819",,"16.98","53","1778","1172","31","0.81","16.98","1","15","12","9","16.98","1","5","2","2","27.98","6.45",,"13.99","1","1","0","2025-03-31"
